time,header_stamp_secs,header_stamp_nsecs,header_frame_id,sentence
2025/05/07 10:24:01.864966822,1746606241,864752309,hemisphere,"$GPHDT,11.969,T*03"
2025/05/07 10:24:01.882478936,1746606241,881875454,hemisphere,"$GPGGA,082401.85,6326.47128525,N,01025.16482066,E,4,17,0.6,2.258,M,40.936,M,0.8,0415*4C"
2025/05/07 10:24:01.890775815,1746606241,890500343,hemisphere,"$GPRMC,082401.85,A,6326.47128525,N,01025.16482066,E,0.32,0.92,070525,4.7,E,D,S*45"
2025/05/07 10:24:01.914929581,1746606241,914577611,hemisphere,"$GPHDT,11.928,T*06"
2025/05/07 10:24:01.931658887,1746606241,931364436,hemisphere,"$GPGGA,082401.90,6326.47128960,N,01025.16481905,E,4,17,0.6,2.260,M,40.936,M,0.9,0415*40"
2025/05/07 10:24:01.939560730,1746606241,939007477,hemisphere,"$GPRMC,082401.90,A,6326.47128960,N,01025.16481905,E,0.32,354.11,070525,4.7,E,D,S*4A"
2025/05/07 10:24:01.965436095,1746606241,964850902,hemisphere,"$GPHDT,11.892,T*06"
2025/05/07 10:24:01.982215840,1746606241,981776791,hemisphere,"$GPGGA,082401.95,6326.47129277,N,01025.16481953,E,4,17,0.6,2.255,M,40.936,M,0.9,0415*4C"
2025/05/07 10:24:02.10938653,1746606241,988870309,hemisphere,"$GPRMC,082401.95,A,6326.47129277,N,01025.16481953,E,0.31,1.72,070525,4.7,E,D,S*45"
2025/05/07 10:24:02.17989281,1746606242,14583539,hemisphere,"$GPHDT,11.852,T*0A"
2025/05/07 10:24:02.32551932,1746606242,32167953,hemisphere,"$GPGGA,082402.00,6326.47129787,N,01025.16482208,E,4,17,0.6,2.257,M,40.936,M,1.0,0415*45"
2025/05/07 10:24:02.54393361,1746606242,39267376,hemisphere,"$GPRMC,082402.00,A,6326.47129787,N,01025.16482208,E,0.31,13.93,070525,4.7,E,D,S*7A"
2025/05/07 10:24:02.65258405,1746606242,64976514,hemisphere,"$GPHDT,11.814,T*08"
2025/05/07 10:24:02.82875326,1746606242,82602092,hemisphere,"$GPGGA,082402.05,6326.47130181,N,01025.16482019,E,4,17,0.6,2.257,M,40.936,M,1.0,0415*4A"
2025/05/07 10:24:02.90158520,1746606242,89837806,hemisphere,"$GPRMC,082402.05,A,6326.47130181,N,01025.16482019,E,0.31,359.14,070525,4.7,E,D,S*47"
2025/05/07 10:24:02.115276739,1746606242,114737491,hemisphere,"$GPHDT,11.781,T*0B"
2025/05/07 10:24:02.137753281,1746606242,134355526,hemisphere,"$GPGGA,082402.10,6326.47130542,N,01025.16482204,E,4,17,0.6,2.255,M,40.936,M,1.1,0415*48"
2025/05/07 10:24:02.141781114,1746606242,140716701,hemisphere,"$GPRMC,082402.10,A,6326.47130542,N,01025.16482204,E,0.31,8.40,070525,4.7,E,D,S*40"
2025/05/07 10:24:02.165514540,1746606242,165125638,hemisphere,"$GPHDT,11.741,T*07"
2025/05/07 10:24:02.183041127,1746606242,182718469,hemisphere,"$GPGGA,082402.15,6326.47131052,N,01025.16482177,E,4,17,0.6,2.256,M,40.936,M,1.1,0415*4C"
2025/05/07 10:24:02.205275873,1746606242,191872143,hemisphere,"$GPRMC,082402.15,A,6326.47131052,N,01025.16482177,E,0.31,359.62,070525,4.7,E,D,S*40"
2025/05/07 10:24:02.232968847,1746606242,220114110,hemisphere,"$GPHDT,11.699,T*03"
2025/05/07 10:24:02.260298880,1746606242,232123868,hemisphere,"$GPGGA,082402.20,6326.47131477,N,01025.16482191,E,4,17,0.6,2.258,M,40.936,M,1.2,0415*4C"
2025/05/07 10:24:02.263330638,1746606242,239258516,hemisphere,"$GPRMC,082402.20,A,6326.47131477,N,01025.16482191,E,0.31,0.46,070525,4.7,E,D,S*44"
2025/05/07 10:24:02.275277316,1746606242,264762892,hemisphere,"$GPHDT,11.660,T*05"
2025/05/07 10:24:02.282480476,1746606242,282135936,hemisphere,"$GPGGA,082402.25,6326.47131845,N,01025.16482182,E,4,17,0.6,2.255,M,40.936,M,1.2,0415*4B"
2025/05/07 10:24:02.290813697,1746606242,289734826,hemisphere,"$GPRMC,082402.25,A,6326.47131845,N,01025.16482182,E,0.31,8.52,070525,4.7,E,D,S*43"
2025/05/07 10:24:02.320873546,1746606242,314942790,hemisphere,"$GPHDT,11.622,T*03"
2025/05/07 10:24:02.334965312,1746606242,332535977,hemisphere,"$GPGGA,082402.30,6326.47132303,N,01025.16482432,E,4,17,0.6,2.258,M,40.936,M,1.3,0415*47"
2025/05/07 10:24:02.340615667,1746606242,340306870,hemisphere,"$GPRMC,082402.30,A,6326.47132303,N,01025.16482432,E,0.31,1.44,070525,4.7,E,D,S*4D"
2025/05/07 10:24:02.369453112,1746606242,369219487,hemisphere,"$GPHDT,11.579,T*0E"
2025/05/07 10:24:02.386539279,1746606242,385100952,hemisphere,"$GPGGA,082402.35,6326.47132754,N,01025.16482332,E,4,17,0.6,2.257,M,40.936,M,1.3,0415*4C"
2025/05/07 10:24:02.392577322,1746606242,392306208,hemisphere,"$GPRMC,082402.35,A,6326.47132754,N,01025.16482332,E,0.31,357.57,070525,4.7,E,D,S*4B"
2025/05/07 10:24:02.416845596,1746606242,415267223,hemisphere,"$GPHDT,11.536,T*05"
2025/05/07 10:24:02.433689460,1746606242,432694726,hemisphere,"$GPGGA,082402.40,6326.47133234,N,01025.16482610,E,4,17,0.6,2.259,M,40.936,M,0.4,0415*41"
2025/05/07 10:24:02.440818264,1746606242,439754086,hemisphere,"$GPRMC,082402.40,A,6326.47133234,N,01025.16482610,E,0.32,9.50,070525,4.7,E,D,S*42"
2025/05/07 10:24:02.470621213,1746606242,466057891,hemisphere,"$GPHDT,11.496,T*0E"
2025/05/07 10:24:02.482714603,1746606242,482379082,hemisphere,"$GPGGA,082402.45,6326.47133604,N,01025.16482612,E,4,17,0.6,2.257,M,40.936,M,0.4,0415*4F"
2025/05/07 10:24:02.491037206,1746606242,490457544,hemisphere,"$GPRMC,082402.45,A,6326.47133604,N,01025.16482612,E,0.31,3.19,070525,4.7,E,D,S*46"
2025/05/07 10:24:02.514770112,1746606242,514502930,hemisphere,"$GPHDT,11.452,T*06"
2025/05/07 10:24:02.534030449,1746606242,532104368,hemisphere,"$GPGGA,082402.50,6326.47134166,N,01025.16482527,E,4,17,0.6,2.262,M,40.936,M,0.5,0415*4D"
2025/05/07 10:24:02.542803855,1746606242,539456563,hemisphere,"$GPRMC,082402.50,A,6326.47134166,N,01025.16482527,E,0.32,355.13,070525,4.7,E,D,S*4A"
2025/05/07 10:24:02.565972253,1746606242,564890503,hemisphere,"$GPHDT,11.409,T*08"
2025/05/07 10:24:02.582725096,1746606242,582477850,hemisphere,"$GPGGA,082402.55,6326.47134570,N,01025.16482396,E,4,17,0.6,2.262,M,40.936,M,0.5,0415*47"
2025/05/07 10:24:02.590053353,1746606242,589735785,hemisphere,"$GPRMC,082402.55,A,6326.47134570,N,01025.16482396,E,0.31,354.52,070525,4.7,E,D,S*47"
2025/05/07 10:24:02.615019182,1746606242,614560688,hemisphere,"$GPHDT,11.366,T*06"
2025/05/07 10:24:02.634773797,1746606242,632190572,hemisphere,"$GPGGA,082402.60,6326.47135017,N,01025.16482574,E,4,17,0.6,2.259,M,40.936,M,0.6,0415*45"
2025/05/07 10:24:02.639571567,1746606242,639232836,hemisphere,"$GPRMC,082402.60,A,6326.47135017,N,01025.16482574,E,0.31,8.66,070525,4.7,E,D,S*43"
2025/05/07 10:24:02.665251712,1746606242,664976834,hemisphere,"$GPHDT,11.324,T*00"
2025/05/07 10:24:02.683849193,1746606242,682596720,hemisphere,"$GPGGA,082402.65,6326.47135442,N,01025.16482711,E,4,17,0.6,2.257,M,40.936,M,0.6,0415*4B"
2025/05/07 10:24:02.691014753,1746606242,689577588,hemisphere,"$GPRMC,082402.65,A,6326.47135442,N,01025.16482711,E,0.32,1.39,070525,4.7,E,D,S*43"
2025/05/07 10:24:02.721512483,1746606242,718861525,hemisphere,"$GPHDT,11.285,T*0A"
2025/05/07 10:24:02.733246570,1746606242,732324347,hemisphere,"$GPGGA,082402.70,6326.47135868,N,01025.16482483,E,4,17,0.6,2.262,M,40.936,M,0.7,0415*44"
2025/05/07 10:24:02.740707233,1746606242,740061709,hemisphere,"$GPRMC,082402.70,A,6326.47135868,N,01025.16482483,E,0.31,353.18,070525,4.7,E,D,S*4F"
