time,data
2025/05/21 11:26:18.592894815,45.0
2025/05/21 11:26:18.695974372,45.0
2025/05/21 11:26:18.795100353,45.0
2025/05/21 11:26:18.898626114,45.0
2025/05/21 11:26:18.991310815,45.0
2025/05/21 11:26:19.93824144,45.0
2025/05/21 11:26:19.195685523,47.0
2025/05/21 11:26:19.297041809,47.0
2025/05/21 11:26:19.398199175,47.0
2025/05/21 11:26:19.501539029,47.0
2025/05/21 11:26:19.589123985,47.0
2025/05/21 11:26:19.689560601,47.0
2025/05/21 11:26:19.792991644,47.0
2025/05/21 11:26:19.896319441,47.0
2025/05/21 11:26:19.996213217,46.71352110243459
2025/05/21 11:26:20.97382395,46.0
2025/05/21 11:26:20.193087809,45.0
2025/05/21 11:26:20.290451204,45.0
2025/05/21 11:26:20.393048944,45.0
2025/05/21 11:26:20.493659305,45.0
2025/05/21 11:26:20.596021460,45.0
2025/05/21 11:26:20.696164931,45.0
2025/05/21 11:26:20.797121983,45.0
2025/05/21 11:26:20.891058484,45.0
2025/05/21 11:26:20.998036286,45.0
2025/05/21 11:26:21.93047915,45.0
2025/05/21 11:26:21.193338397,45.0
2025/05/21 11:26:21.295778738,45.0
2025/05/21 11:26:21.397132985,45.0
2025/05/21 11:26:21.498944371,45.0
2025/05/21 11:26:21.592632243,45.0
2025/05/21 11:26:21.690473555,45.0
2025/05/21 11:26:21.793819378,45.0
2025/05/21 11:26:21.893639980,45.0
2025/05/21 11:26:21.989110739,45.0
2025/05/21 11:26:22.92542077,45.0
2025/05/21 11:26:22.195367451,45.0
2025/05/21 11:26:22.289321547,45.0
2025/05/21 11:26:22.389390242,45.0
2025/05/21 11:26:22.492629812,45.0
2025/05/21 11:26:22.591917415,45.0
2025/05/21 11:26:22.692244831,45.0
2025/05/21 11:26:22.795140982,45.0
2025/05/21 11:26:22.895134791,45.0
2025/05/21 11:26:22.997105673,44.71352110243459
2025/05/21 11:26:23.96398295,44.0
2025/05/21 11:26:23.190491225,44.0
2025/05/21 11:26:23.290450441,44.0
2025/05/21 11:26:23.392203160,44.0
2025/05/21 11:26:23.494317880,44.0
2025/05/21 11:26:23.594065400,44.0
2025/05/21 11:26:23.694258262,44.0
2025/05/21 11:26:23.794200278,44.0
2025/05/21 11:26:23.897814823,44.0
2025/05/21 11:26:23.997536370,44.0
2025/05/21 11:26:24.98000463,44.0
2025/05/21 11:26:24.188989653,44.0
2025/05/21 11:26:24.289987578,44.0
2025/05/21 11:26:24.391040378,44.0
2025/05/21 11:26:24.493420987,45.0
2025/05/21 11:26:24.593817772,45.28647889756541
2025/05/21 11:26:24.696355575,46.0
2025/05/21 11:26:24.798003661,46.0
2025/05/21 11:26:24.899276258,46.0
2025/05/21 11:26:24.991606874,45.71352110243459
2025/05/21 11:26:25.91295286,42.84873212678047
2025/05/21 11:26:25.190498670,39.983943151126354
2025/05/21 11:26:25.292214246,37.11915417547223
2025/05/21 11:26:25.393954199,34.25436519981812
2025/05/21 11:26:25.493930091,31.67605512172941
