time,header_stamp_secs,header_stamp_nsecs,header_frame_id,setpoint_0,setpoint_1,setpoint_2,setpoint_3,rpm_0,rpm_1,rpm_2,rpm_3,thrust_0,thrust_1,thrust_2,thrust_3,torque_0,torque_1,torque_2,torque_3
2025/05/21 13:29:48.484822095,1747826988,460747245,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.486498821,1747826988,472861930,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.486566557,1747826988,481970684,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.492796833,1747826988,492569335,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.502179157,1747826988,502058025,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.512825370,1747826988,512711534,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.522311846,1747826988,522172647,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.533003257,1747826988,532911179,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.542493133,1747826988,542364067,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.553090373,1747826988,553001510,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.562720732,1747826988,562549938,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.573436404,1747826988,573286836,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.582880899,1747826988,582774873,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.593879291,1747826988,593730442,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.603079428,1747826988,602909876,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.613637814,1747826988,613541137,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.623249686,1747826988,623093806,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.634326462,1747826988,633985504,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.643468874,1747826988,643257461,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.654032753,1747826988,653893722,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.663642295,1747826988,663412212,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.674156094,1747826988,674046999,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.683762202,1747826988,683634550,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.694398069,1747826988,694313726,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.703870076,1747826988,703705140,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.714712542,1747826988,714402562,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.724020059,1747826988,723895917,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.735395492,1747826988,734694492,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
2025/05/21 13:29:48.744196586,1747826988,744039888,mA1,26.494098045273923,26.494098045273923,26.494098045273923,26.494098045273923,253.0,253.0,253.0,253.0,-51.65683007545654,-51.65683007545654,51.65683007545654,51.65683007545654,0.0,0.0,0.0,0.0
