time,force_x,force_y,force_z,torque_x,torque_y,torque_z
2025/05/25 19:00:09.54007110,0.10130717816145372,-8.626739844675782,0.0,0.0,0.0,-0.16007151797324407
2025/05/25 19:00:09.151359888,0.06960238995601506,-4.185479363184771,0.0,0.0,0.0,-0.1340109398675369
2025/05/25 19:00:09.251500162,0.06960243890887317,-4.185486135669677,0.0,0.0,0.0,-0.13407641584085064
2025/05/25 19:00:09.351752707,0.06960248786172894,-4.1854929081545835,0.0,0.0,0.0,-0.13414189181363148
2025/05/25 19:00:09.451375801,0.06960253681288414,-4.185499680639489,0.0,0.0,0.0,-0.13420736778641257
2025/05/25 19:00:09.551310837,0.0696025857657329,-4.185506453124394,0.0,0.0,0.0,-0.13427284375919363
2025/05/25 19:00:09.652926799,0.0696026347168811,-4.185513225609297,0.0,0.0,0.0,-0.13433831973197471
2025/05/25 19:00:09.753259012,0.06960268366972285,-4.185519998094204,0.0,0.0,0.0,-0.1344037957052887
2025/05/25 19:00:09.854263132,0.06960273262256224,-4.185526770579109,0.0,0.0,0.0,-0.13446927167806977
2025/05/25 19:00:09.951769624,0.06960278157709748,-4.185533543064018,0.0,0.0,0.0,-0.13453474765085086
2025/05/25 19:00:10.52037278,0.37969777669708427,-29.893683318915272,0.0,0.0,0.0,0.061965888357485045
2025/05/25 19:00:10.152094568,0.3876673210436842,-30.63956026486731,0.0,0.0,0.0,0.06153060362447456
2025/05/25 19:00:10.252469667,0.387668145233642,-30.63960559950888,0.0,0.0,0.0,0.06147331756511291
2025/05/25 19:00:10.351642734,0.3876689694235999,-30.639650934150456,0.0,0.0,0.0,0.06141603150575125
2025/05/25 19:00:10.452854353,0.38766979361185944,-30.639696268792022,0.0,0.0,0.0,0.06135874544585647
2025/05/25 19:00:10.551535290,0.38767061780011675,-30.639741603433595,0.0,0.0,0.0,0.06130145938649459
2025/05/25 19:00:10.651907950,0.3876714419883716,-30.63978693807516,0.0,0.0,0.0,0.0612441733271327
2025/05/25 19:00:10.751461019,0.38767226617832234,-30.639832272716735,0.0,0.0,0.0,0.06118688726777082
