time,header_stamp_secs,header_stamp_nsecs,header_frame_id,quaternion_x,quaternion_y,quaternion_z,quaternion_w
2025/05/20 13:02:00.279061691,1747738920,278162452,,-2.4427766218076998e-05,-0.00040289417611578867,0.9984817286060962,0.05508243567008645
2025/05/20 13:02:00.388468725,1747738920,376277515,,-1.7026568048386442e-05,-0.00040358048856171675,0.9984817485589331,0.05508207174372464
2025/05/20 13:02:00.541518284,1747738920,481632900,,-2.5629686453653108e-05,-0.00040277900898505985,0.9984817679684344,0.05508172243874218
2025/05/20 13:02:00.595410078,1747738920,588986146,,-1.8325715644218285e-05,-0.0004022574402886171,0.9984817875787706,0.05508137368133196
2025/05/20 13:02:00.690796670,1747738920,685446251,,-2.7048883486093687e-05,-0.0004006139589825367,0.9984818064998899,0.05508103907453315
2025/05/20 13:02:00.788435138,1747738920,776118948,,-1.9741898914619728e-05,-0.00039977156238553305,0.9984818254692618,0.055080704430191293
2025/05/20 13:02:00.890520757,1747738920,880107201,,-2.7993497937821365e-05,-0.0003984317634855868,0.9984818435182398,0.055080383376584774
2025/05/20 13:02:01.62275774,1747738920,983030906,,-2.0003453088576814e-05,-0.00039841560045776966,0.9984818614339495,0.05508006220282326
2025/05/20 13:02:01.133640474,1747738921,83820515,,-2.757927031762889e-05,-0.00039818314837535365,0.9984818783206665,0.055079754491084404
2025/05/20 13:02:01.255939672,1747738921,179028801,,-1.9003594797140293e-05,-0.0003993388861723442,0.9984818950516964,0.05507944645047244
2025/05/20 13:02:01.338470751,1747738921,276552093,,-2.6212964040720654e-05,-0.00040006777745907335,0.9984819108599354,0.05507915162878039
2025/05/20 13:02:01.443177952,1747738921,379441571,,-1.7521982047550417e-05,-0.00040172139460382776,0.99848192669417,0.05507885599755724
2025/05/20 13:02:01.557465696,1747738921,480869596,,-2.4791911661688344e-05,-0.00040240011657511227,0.9984819418721078,0.055078573100726745
2025/05/20 13:02:01.664936206,1747738921,581439633,,-1.6205141881084516e-05,-0.0004034842571964973,0.9984819572894551,0.05507828887380749
2025/05/20 13:02:01.800748056,1747738921,681643130,,-2.3992596667779234e-05,-0.00040325131133702016,0.9984819722239486,0.055078016998701095
2025/05/20 13:02:01.863643788,1747738921,777036094,,-1.6296887813745045e-05,-0.00040324353748042726,0.998481987483768,0.05507774323195869
2025/05/20 13:02:01.895166528,1747738921,874615834,,-2.47930791679743e-05,-0.0004019672870900653,0.9984820022785388,0.05507748118281806
2025/05/20 13:02:01.989972772,1747738921,987455306,,-1.7616403095575943e-05,-0.0004012836977858139,0.9984820172820558,0.05507721693597879
2025/05/20 13:02:02.82905492,1747738922,76556048,,-2.6483081343018113e-05,-0.0003998006766336619,0.9984820316227292,0.055076964192052734
2025/05/20 13:02:02.182145768,1747738922,181883373,,-1.9399952715086335e-05,-0.00039940404456811375,0.9984820460206403,0.055076709001963896
2025/05/20 13:02:02.421401441,1747738922,379105052,,-2.01796551419631e-05,-0.00039919850190184156,0.998482073121107,0.05507621890720113
2025/05/20 13:02:02.480478839,1747738922,478402405,,-2.7961603516487764e-05,-0.0003994569218224851,0.9984820857834431,0.055075984075289304
2025/05/20 13:02:02.575958405,1747738922,574736975,,-1.953397388824456e-05,-0.00040085672789064495,0.9984820985084258,0.05507574684484692
2025/05/20 13:02:02.688891805,1747738922,682846364,,-2.6643129025969985e-05,-0.00040157029744313617,0.9984821105283539,0.05507552075363518
2025/05/20 13:02:02.782850524,1747738922,778791952,,-1.780533168820193e-05,-0.0004029234125563044,0.9984821228031356,0.05507529190333753
2025/05/20 13:02:02.883013217,1747738922,881380534,,-2.5050124521707133e-05,-0.00040306059248041765,0.9984821346199043,0.05507507384951329
2025/05/20 13:02:02.995607649,1747738922,984337697,,-1.6547534059948052e-05,-0.0004035082539443957,0.9984821468325432,0.05507485237333088
2025/05/20 13:02:03.92596837,1747738923,78753092,,-2.4199686824031642e-05,-0.00040267940070734873,0.9984821586591545,0.055074641197472636
2025/05/20 13:02:03.184900016,1747738923,182486369,,-1.6252744053281335e-05,-0.00040213495072670896,0.998482177276395,0.05507431056962633
2025/05/20 13:02:03.281141127,1747738923,280464785,,-2.3460097106805763e-05,-0.0004048123823102601,0.9984825953057728,0.05506670907188525
2025/05/20 13:02:03.385811795,1747738923,378644154,,-1.3755883894112661e-05,-0.00041398728592927434,0.9984836172088299,0.055048111601340495
2025/05/20 13:02:03.500336810,1747738923,481229161,,-1.94284524772108e-05,-0.0004246633683849773,0.998485209864703,0.0550191327176177
2025/05/20 13:02:03.588202183,1747738923,583186969,,-8.426422757325985e-06,-0.00043476548855714064,0.9984873425641274,0.05498033873297174
2025/05/20 13:02:03.685162450,1747738923,678584947,,-1.4188375829283099e-05,-0.0004397097203674095,0.9984899871733759,0.05493224889410275
2025/05/20 13:02:03.781431924,1747738923,780798138,,-5.1968425413536735e-06,-0.0004392286110748517,0.998493117953076,0.05487531732541101
2025/05/20 13:02:03.878626876,1747738923,877037181,,-1.3310635482632451e-05,-0.00043166652993367033,0.9984967092151298,0.0548099915470767
2025/05/20 13:02:03.982557973,1747738923,980922078,,-6.850659228045633e-06,-0.00041989685137844486,0.998500735573978,0.05473668512001405
2025/05/20 13:02:04.94634405,1747738924,85895919,,-1.7349148372432283e-05,-0.0004048364286725811,0.9985051716914296,0.05465581315781345
2025/05/20 13:02:04.177067013,1747738924,176117512,,-1.2735774479550578e-05,-0.0003913915170887922,0.9985099912085043,0.05456779368156035
