time,header_stamp_secs,header_stamp_nsecs,header_frame_id,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z
2025/05/14 14:46:33.836426399,1747226793,829776217,piren,-0.017853616907768734,-0.10026150777471222,-0.043429358858592546,0.0016464980130444166,-0.0018121758168335408,-0.00038696040005611226
2025/05/14 14:46:33.987824203,1747226793,947068855,piren,0.004753206259874861,0.023061468842843227,0.010230822335554064,-0.0014534566972634042,-0.0018414222679683607,-0.00017424423613193092
2025/05/14 14:46:34.51320938,1747226794,46862267,piren,-0.01733736482874512,-0.09544291667612008,-0.03888853983016233,0.0018198149902093246,-0.0020202858652574383,-5.306595925248718e-05
2025/05/14 14:46:34.101700392,1747226794,97591670,piren,0.004958738554069059,0.028157500886300174,0.01414973347211209,0.00010160806317909135,-0.001611329964998511,0.0
2025/05/14 14:46:34.156465979,1747226794,148541567,piren,-0.02015941201416346,-0.106964346395307,-0.043915005350660716,-0.0013276445333613805,-0.0008196818415283459,-0.00015894989583888463
2025/05/14 14:46:34.210013639,1747226794,206201282,piren,-0.03631031945847091,-0.17109918100732094,-0.07072306075477769,0.0003839181084279462,0.0002830699204649903,0.0
2025/05/14 14:46:34.260029835,1747226794,256729751,piren,-0.005089041038718205,0.009621451340035558,0.004752446818429734,0.0018009165013298234,0.0007995203809632475,-0.0008920937670741781
2025/05/14 14:46:34.310423165,1747226794,307656657,piren,0.015115240857039754,0.10540776888560692,0.04613546655042647,3.746507944761379e-05,0.0011491240792232728,0.0
2025/05/14 14:46:34.359926972,1747226794,356565519,piren,-0.012348107796333278,-0.050615496893351444,-0.02085394681606359,-0.001454469129372999,0.001616666413954551,-0.0008965286822820664
2025/05/14 14:46:34.411745418,1747226794,407733375,piren,-0.02600754602535737,-0.12859918279755211,-0.05337201857395455,0.0015121015675239801,0.001788957836267085,0.0
2025/05/14 14:46:34.508247388,1747226794,505523133,piren,0.003040383381039718,0.022079407221417657,0.01073546248919307,-0.00020463379844978789,0.001745321806836559,-0.001958848115897513
2025/05/14 14:46:34.562911013,1747226794,554865738,piren,-0.016945450930052102,-0.09562411063070603,-0.04031204052196621,-0.001683610833078319,0.001665660272339561,-0.00048053337029807004
2025/05/14 14:46:34.608135000,1747226794,605212440,piren,-0.026378799883695972,-0.14855131726217213,-0.06230602374353843,9.304656354626422e-06,0.0015262658181967943,0.0
2025/05/14 14:46:34.656286189,1747226794,653676910,piren,0.008121360931727467,0.037842576933007965,0.015558116390941873,0.0014309419354817513,0.0013023728714182117,-0.0004259428593403254
2025/05/14 14:46:34.705633003,1747226794,703036989,piren,0.026561713478213348,0.13687093672028833,0.058075674460116876,-0.00031179708229050367,0.0010345182435165176,0.0
2025/05/14 14:46:34.756002968,1747226794,752627601,piren,-0.0017887103024803938,-0.018390915335839864,-0.008610750814569322,-0.001770464634067328,0.0007136633128398716,-0.0004297170972281819
2025/05/14 14:46:34.805479379,1747226794,801565334,piren,-0.016629312534450873,-0.09922529217087675,-0.04213909756755129,-4.862160368685292e-05,0.0003240920914037233,0.0
2025/05/14 14:46:34.856562453,1747226794,853231422,piren,0.013847081924268492,0.06697362039608387,0.027454854357813967,0.0014045212363341167,-7.546279690330045e-05,-0.00042309155684507933
2025/05/14 14:46:34.903879310,1747226794,901280957,piren,0.029344428549757207,0.1517619698097861,0.06419245043408545,-0.00030594058255406666,-0.0004384469726751093,0.0
2025/05/14 14:46:34.957854276,1747226794,951088235,piren,-0.0011173637962200896,-0.013413782827274096,-0.006445191678236595,-0.0017318516162344178,-0.000770818441242117,-0.00040698113965918065
2025/05/14 14:46:35.2746680,1747226794,999691297,piren,-0.017400974503288962,-0.10088706263618395,-0.0425701618645553,-1.3223561042652156e-05,-0.000750731704348804,0.0
2025/05/14 14:46:35.51669658,1747226795,49261380,piren,0.010324050629196863,0.06221765625427915,0.025687511788174217,0.0014703138596165683,-0.0008205750288690258,-0.0004359178519095737
2025/05/14 14:46:35.105034235,1747226795,101261031,piren,0.026118289890882877,0.14375729189841885,0.0613111279469718,-0.00015679591927320426,-0.0010569094450923542,0.0
2025/05/14 14:46:35.154712421,1747226795,152151569,piren,-0.004361142473999206,-0.02414213407191701,-0.010436579724490469,-0.0015351709600537945,-0.0012123921510339252,-0.0007262153773213068
2025/05/14 14:46:35.209574043,1747226795,205136259,piren,-0.020293155245326412,-0.11189091215101134,-0.04653751065597603,0.00023434701827447008,-0.001334262621178955,0.0
2025/05/14 14:46:35.259237560,1747226795,256075398,piren,0.009518650271456937,0.05044315368409123,0.02167937630071798,2.987450785344281e-05,-0.0013220594275499668,-0.0007438898361853101
2025/05/14 14:46:35.358120001,1747226795,354589984,piren,-0.02946338266419836,-0.16019495398936662,-0.06790108323617175,-0.0013902264656961932,-0.0011982912119115742,-0.0007716883923820765
2025/05/14 14:46:35.407820620,1747226795,405013612,piren,-0.03474055577853498,-0.1876171791629985,-0.07822302623155386,0.00033198453849349514,-0.0016873838524082449,0.0
2025/05/14 14:46:35.460907505,1747226795,457023020,piren,0.006693080034256199,0.01600572695956551,0.00791572431058235,0.0017890713726147409,-0.0017308111796772473,2.6395868814972555e-05
2025/05/14 14:46:35.516314780,1747226795,508127771,piren,0.024952239942877055,0.1269800537830179,0.055869831714143246,7.09941887629371e-05,-0.0013631303262087618,0.0
2025/05/14 14:46:35.567823228,1747226795,564027990,piren,-0.0040026003689944654,-0.025322284309413523,-0.0093421010699496,0.0003175835088425295,-0.0003976676330719081,0.0005208627140826491
2025/05/14 14:46:35.672752781,1747226795,670571081,piren,0.01984661959099874,0.11146766077040415,0.048008823744375706,-3.5679287502755166e-05,0.0006840056693907372,0.0006397994147643699
