time,header_stamp_secs,header_stamp_nsecs,header_frame_id,wrench_force_x,wrench_force_y,wrench_force_z,wrench_torque_x,wrench_torque_y,wrench_torque_z
2025/05/19 11:48:20.27298833,1747648100,18805212,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.129613763,1747648100,118520969,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.228646709,1747648100,218277119,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.327293991,1747648100,318530257,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.438736569,1747648100,434947057,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.548619899,1747648100,520830884,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.627536599,1747648100,622754247,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.728086967,1747648100,719140617,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.827314776,1747648100,818324797,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:20.929440542,1747648100,918289689,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.28653262,1747648101,18261013,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.127485372,1747648101,118455597,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.227372691,1747648101,218324375,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.327642695,1747648101,318372948,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.427289224,1747648101,418837432,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.527452150,1747648101,518269832,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.627597873,1747648101,618304541,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.728407524,1747648101,718556754,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.827456762,1747648101,818266270,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:21.932127379,1747648101,931157057,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.40663149,1747648102,31912729,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.129285405,1747648102,123458852,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.230857189,1747648102,229210803,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.327292365,1747648102,319241863,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.427348716,1747648102,418672413,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.527363922,1747648102,518329530,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.892981056,1747648102,619401819,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.898057023,1747648102,893019328,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/19 11:48:22.929575411,1747648102,928419538,,-0.0,0.0,0.0,0.0,0.0,0.0
