time,data
2025/05/21 13:11:46.494652990,-24.85522484149809
2025/05/21 13:11:46.592456066,-28.00649271471762
2025/05/21 13:11:46.693629651,-27.14705602202138
2025/05/21 13:11:46.794565485,-24.282267046367263
2025/05/21 13:11:46.895497317,-21.417478070713145
2025/05/21 13:11:46.998497561,-18.552689095059026
2025/05/21 13:11:47.88765601,-15.687900119404906
2025/05/21 13:11:47.189152699,-12.823111143750788
2025/05/21 13:11:47.293113102,-9.95832216809667
2025/05/21 13:11:47.393113574,-7.093533192442551
2025/05/21 13:11:47.494330558,-4.228744216788432
2025/05/21 13:11:47.595618432,-1.3639552411343163
2025/05/21 13:11:47.696613246,1.5008337345198002
2025/05/21 13:11:47.797842508,4.365622710173916
2025/05/21 13:11:47.887823220,7.2304116858280345
2025/05/21 13:11:47.990013600,10.095200661482153
2025/05/21 13:11:48.91763491,12.959989637136273
2025/05/21 13:11:48.192275622,15.82477861279039
2025/05/21 13:11:48.292698589,18.689567588444508
2025/05/21 13:11:48.395712204,21.554356564098626
2025/05/21 13:11:48.490028467,24.419145539752744
2025/05/21 13:11:48.589931307,27.283934515406862
2025/05/21 13:11:48.691172216,30.14872349106098
2025/05/21 13:11:48.792341444,33.0135124667151
2025/05/21 13:11:48.893844934,35.878301442369214
2025/05/21 13:11:48.994682283,38.743090418023336
2025/05/21 13:11:49.94830865,41.60787939367746
2025/05/21 13:11:49.196622651,44.47266836933157
2025/05/21 13:11:49.287949518,47.337457344985694
2025/05/21 13:11:49.389155647,50.20224632063981
2025/05/21 13:11:49.491674198,53.06703529629393
2025/05/21 13:11:49.590433014,55.931824271948045
2025/05/21 13:11:49.691427724,58.79661324760213
2025/05/21 13:11:49.792796723,61.66140222325619
2025/05/21 13:11:49.893816754,64.52619119891024
2025/05/21 13:11:49.994529613,67.3909801745643
2025/05/21 13:11:50.96152777,70.25576915021836
2025/05/21 13:11:50.196786450,73.1205581258724
2025/05/21 13:11:50.289202300,76.27182599909187
2025/05/21 13:11:50.393231164,78.85013607718052
