time,header_stamp_secs,header_stamp_nsecs,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
2025/05/25 17:16:50.636844746,1748186210,628717510,piren,-484.08756279537846,-286.22469184297313,2.351239163143355,0.014375706129423581,-0.02400339395704161,-0.8648914218274484,0.5011786154667
2025/05/25 17:16:50.940640752,1748186210,931292771,piren,-484.1346895158847,-286.1985854865836,2.327685238363287,-0.0014233517339702492,0.0031532760842074683,-0.8652339952205548,0.501356324817445
2025/05/25 17:16:51.324697692,1748186211,274819724,piren,-484.14753738153723,-286.19233578780336,2.3224494335943078,0.01437784127939575,-0.024004529066884953,-0.8648092432780244,0.5013202898400505
2025/05/25 17:16:51.594604697,1748186211,588421167,piren,-484.19412215813014,-286.1666625744299,2.2997067642478033,0.014404926828136226,-0.02398471631421762,-0.8647642008391875,0.5013981535799308
2025/05/25 17:16:51.743785282,1748186211,743212766,piren,-484.2338114408577,-286.1448351151002,2.280316778159323,-0.0013821659494683643,0.003180348276517676,-0.8650309187659843,0.5017065721923578
2025/05/25 17:16:51.859777896,1748186211,857472259,piren,-484.2041469712931,-286.1621802116284,2.2960534744084824,0.001119843532421349,-0.001140278244698945,-0.8650360478883002,0.5017071671500997
2025/05/25 17:16:51.974399426,1748186211,972022487,piren,-484.1857948100027,-286.17301467732403,2.3061404656173727,-0.014525208266141582,0.025865024258459948,-0.8646900777463098,0.5014290461192046
2025/05/25 17:16:52.115874024,1748186212,115232519,piren,-484.12519650765205,-286.20813379681323,2.3348637953039995,0.014370864813872569,-0.02400102796454144,-0.8646857682202105,0.501533599212028
2025/05/25 17:16:52.237531243,1748186212,235493413,piren,-484.1574102275625,-286.19013797481944,2.3190683249575508,-0.014537264276912628,0.025841095959146947,-0.8646222944528222,0.5015468010486265
2025/05/25 17:16:52.365485821,1748186212,362316719,piren,-484.10694335753925,-286.21929457897716,2.3429544900254404,-0.0014107333674819307,0.003163742403019578,-0.8649485280363757,0.5018486269913272
2025/05/25 17:16:52.474198997,1748186212,472338685,piren,-484.1025396303168,-286.222197584842,2.34649594949538,0.0012845296356227196,-0.0015730082617035654,-0.8649528397138496,0.5018490417441996
2025/05/25 17:16:52.693699727,1748186212,693237682,piren,-484.1076938582864,-286.2195731709197,2.3453911750178253,0.014079383139227904,-0.024228338679748385,-0.8645043091070327,0.5018436590319842
2025/05/25 17:16:52.813490878,1748186212,812078857,piren,-484.15790346049795,-286.1905605110083,2.3204082442357734,0.0011561972759865126,-0.0016700688217528477,-0.8648224413953213,0.5020737186280773
2025/05/25 17:16:52.924759169,1748186212,924239425,piren,-484.16318979139055,-286.18772740916086,2.318920640262639,-0.001517079640521846,0.003044304034410386,-0.8648090699315092,0.5020893379135912
2025/05/25 17:16:53.164116227,1748186213,161303296,piren,-484.1483731044152,-286.19667761321926,2.3275060448848026,-0.014650574577989487,0.025713622437104545,-0.8643510271819244,0.5020174021836784
2025/05/25 17:16:53.289312092,1748186213,287388081,piren,-484.10477429403204,-286.22213541396115,2.347683633184456,0.01435164698026413,-0.024071493174058014,-0.8643689830023705,0.5020765426394393
2025/05/25 17:16:53.417892290,1748186213,416769560,piren,-484.15449620795613,-286.194361564305,2.3231385847655797,0.0012619746444114425,-0.00156366022609207,-0.8647330531305081,0.5022277463564553
2025/05/25 17:16:53.669348920,1748186213,666953850,piren,-484.16144776179607,-286.19132556686804,2.3212103296135016,0.0010799421102300935,-0.0012362643358089784,-0.8645576401320524,0.5025309863728079
2025/05/25 17:16:53.951430213,1748186213,949350628,piren,-484.16652031210515,-286.1898424877959,2.3206905331034084,0.001085031905912956,-0.001181428626292961,-0.8644945569776654,0.5026396202928638
2025/05/25 17:16:54.270881289,1748186214,267260183,piren,-484.1677286787602,-286.19063344553945,2.321956286031628,0.0013214079007419551,-0.0009492174477969686,-0.8644354176422575,0.5027412471570764
2025/05/25 17:16:54.629046747,1748186214,627394708,piren,-484.1679435839932,-286.19299082687803,2.3240687470948145,-0.014789411431206474,0.025564383338313873,-0.8639160328867458,0.5027691555130223
2025/05/25 17:16:54.756002688,1748186214,755685985,piren,-484.1197037679652,-286.22037921199365,2.34576940111462,-0.00164860402174616,0.002894745752434711,-0.8643257244535005,0.5029214099635647
2025/05/25 17:16:54.864664568,1748186214,863172760,piren,-484.12137475532245,-286.21921582007803,2.3455120827114757,0.0008492113588948203,-0.0014131541434209073,-0.8643294425034579,0.5029233506779107
2025/05/25 17:16:54.973082870,1748186214,972707432,piren,-484.12873608631077,-286.2151939957647,2.342776436058467,-0.0014580034269765121,0.0027605193400476622,-0.8642539493777707,0.503046086103357
2025/05/25 17:16:55.187842519,1748186215,187327342,piren,-484.13068931562105,-286.21478178343455,2.343061863283162,0.001034420749542489,-0.0017660174346644894,-0.8640816079346578,0.5033475796953728
2025/05/25 17:16:55.307700750,1748186215,306520528,piren,-484.14387465839025,-286.20786541237334,2.337623548170073,-0.0014622612680830962,0.0027673017659165552,-0.8641387421438819,0.5032439151732588
2025/05/25 17:16:55.427567889,1748186215,425381503,piren,-484.14802883660826,-286.20637289270945,2.336804274665732,0.0011288214531934915,-0.0012909876414298137,-0.8640595268722803,0.5033867232399835
2025/05/25 17:16:55.639394075,1748186215,636411995,piren,-484.1600004141493,-286.20132105913456,2.3326866088118763,-0.0015393009134819131,0.0030290271965063282,-0.8638991077553096,0.5036534395460043
2025/05/25 17:16:55.745029864,1748186215,744523848,piren,-484.1603852045324,-286.20216238110686,2.3333540781649997,0.000976851942155441,-0.0012771571111795945,-0.8638777494050573,0.5036989663607118
2025/05/25 17:16:55.852336340,1748186215,850775545,piren,-484.1677507163944,-286.1989635499107,2.3305859578885437,-0.014637844100132552,0.025745010651894128,-0.863495611372142,0.5034861041654326
2025/05/25 17:16:55.958178282,1748186215,957750282,piren,-484.12776156837066,-286.2227107051935,2.348883423124634,-0.001481626919482536,0.0030699820608122972,-0.8638700593438006,0.5037031869674405
2025/05/25 17:16:56.65320697,1748186216,63923762,piren,-484.1351650275614,-286.21925080981885,2.3463550156255373,0.001017843201774001,-0.0012377071452170595,-0.8638746144149648,0.5037043603599585
2025/05/25 17:16:56.171875002,1748186216,171242894,piren,-484.149166327847,-286.21204008075586,2.340664083207916,-0.01461386810825948,0.025767522047538394,-0.8633963823036251,0.503655791877207
2025/05/25 17:16:56.281664303,1748186216,281168970,piren,-484.115792481139,-286.2321632772667,2.356331970316854,0.014379597197743914,-0.024038698062864208,-0.8634469736452979,0.5036612868611695
2025/05/25 17:16:56.388462433,1748186216,387483369,piren,-484.17379609115244,-286.20000265571485,2.3282641854311406,0.0012962325234770467,-0.0015310810665279983,-0.8636236012901386,0.5041331677906788
2025/05/25 17:16:56.496735601,1748186216,496174883,piren,-484.1835759899307,-286.195439477497,2.325255915474916,-0.001096621380502999,0.003000544471481579,-0.8635602319517326,0.5042355798095693
2025/05/25 17:16:56.608860466,1748186216,608081773,piren,-484.1834527493175,-286.1968137067601,2.3269743950196746,0.01456259899079534,-0.02390789245558405,-0.8632406458048656,0.5040158041365014
2025/05/25 17:16:56.752311955,1748186216,751932722,piren,-484.22969838457755,-286.17207264270303,2.305079461820514,-0.014448151011364936,0.02589721956975767,-0.8630325992125978,0.5042770247069127
2025/05/25 17:16:56.861892512,1748186216,860315889,piren,-484.17947644334373,-286.20164827648097,2.3292432909080345,-0.001296537669912239,0.003216372612132716,-0.8634149981739911,0.5044824227517718
2025/05/25 17:16:56.972495090,1748186216,972168649,piren,-484.17720313215347,-286.20378126714826,2.332205175961453,0.0011895274051363987,-0.0011046962173831588,-0.8634444043178556,0.504441399295303
2025/05/25 17:16:57.81644397,1748186217,81107910,piren,-484.18322608634753,-286.20149739563436,2.3313137157863326,-0.001424283556974918,0.0020883433708218224,-0.8634428817299301,0.5044402841052932
