time,stamp_secs,stamp_nsecs,node,new_parameters_0
2025/05/20 12:57:17.305858422,1747738637,219867123,/_ros2cli_32061,"{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}"
2025/05/20 12:57:17.630241723,1747738637,623254902,/_ros2cli_daemon_10_51841d1475294fd897f160ea8f6f2db0,"{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}"
2025/05/20 12:57:51.65007672,1747738671,61009758,/_ros2cli_32193,"{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}"
