time,layout_data_offset,data_0,data_1,data_2,data_3
2025/05/20 12:56:10.866099040,0,57.3246216074661,46.196841440399474,41.62632808260446,51.87911073594836
2025/05/20 12:56:10.965441983,0,37.3246216074661,28.25838322108614,27.302264090948253,32.140049877229615
2025/05/20 12:56:11.65989328,0,17.3246216074661,16.341686069252326,11.711690236014146,18.161990729458072
2025/05/20 12:56:11.165368403,0,1.5463302944791324,7.951621918488944,-0.6654249550954467,8.196285085389933
2025/05/20 12:56:11.265487561,0,0.5480723516357078,3.7301688756406897,-0.32031755641468085,3.764933168482851
2025/05/20 12:56:11.365770745,0,0.3822951756851112,3.57225080554783,-0.31036143481485534,3.545087296922512
2025/05/20 12:56:11.475857252,0,0.2391364093126546,3.4205121748098986,-0.2993375528815925,3.354715819411677
2025/05/20 12:56:11.590424390,0,0.10721530881078442,3.2670402238806293,-0.28651443666616305,3.1824451538547525
2025/05/20 12:56:11.665585224,0,0.03292693865692787,3.1749501835814473,-0.27922317901234356,3.0882241823353045
2025/05/20 12:56:11.765422191,0,-0.020060732217127543,3.0970543402033743,-0.2533673647237452,3.015302423237833
2025/05/20 12:56:11.872249395,0,-0.04910696751856374,3.0448870052309065,-0.22144149275997393,2.9719226206129052
2025/05/20 12:56:11.977665691,0,-0.07253630361825372,3.002250464317015,-0.19623753961667148,2.9393419833333096
2025/05/20 12:56:12.67364157,0,-0.09152488017913053,2.9673454847039755,-0.1761765398810692,2.9145110827668885
2025/05/20 12:56:12.212761574,0,-5.866731643818154,8.764528589094983,-6.123358245493677,8.754619926403208
2025/05/20 12:56:12.308058600,0,-5.320864808720687,16.484625481920244,-5.806373334013596,16.391897074532437
2025/05/20 12:56:12.400648418,0,-0.7322519213590704,20.45277090045273,-1.1107833746018108,20.444003269964163
2025/05/20 12:56:12.516220455,0,-0.7899828278871283,19.957526009490202,-0.9791997147886451,20.017686153368864
2025/05/20 12:56:12.623805154,0,-0.8267326047258603,19.528927185581963,-0.8824940544801939,19.64472658156717
2025/05/20 12:56:12.678974208,0,-0.8431983578176735,19.236423653344566,-0.827064625151143,19.38515140969056
2025/05/20 12:56:12.788553194,0,-0.849796348475264,19.032086767459035,-0.7942610811763969,19.19987375569277
