time,header_stamp_secs,header_stamp_nsecs,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z,gps_status
2025/05/19 02:18:27.486800355,1747613907,419564847,piren,vessel_center,-490.16511631198904,-315.67570097897175,2.3632151003505872,0.02526441875559175,0.017337546312019968,0.554854809679226,0.8313827390610481,-0.17343653758821276,0.07199983880091174,0.07852603669652534,-0.0001512356336895676,0.00030216969836055566,-2.928861264287979e-05,0
2025/05/19 02:18:28.266920987,1747613908,180928310,piren,vessel_center,-490.1453478142727,-315.6840420837832,2.354517265561153,0.02522675050730171,0.017389895275066795,0.5548488986191589,0.8313867344998179,0.07610494231685222,-0.03186826843461851,-0.033942278064928666,-0.00015265503622609794,-0.0001122574842567139,-1.9312140848021367e-05,0
2025/05/19 02:18:28.879507848,1747613908,801844989,piren,vessel_center,-490.04256029079056,-315.72677717525545,2.308487606191644,0.021137228506633167,0.014350758344510254,0.5549326243684201,0.8315028897830565,0.19434090957588593,-0.08069695182771276,-0.08709115278382101,-0.0015667641422966341,0.00016642356646865404,-1.4680997523228707e-05,0
2025/05/19 02:18:29.474894547,1747613909,465026177,piren,vessel_center,-489.9422204834037,-315.76880034247654,2.263893628507882,0.021215113600227174,0.014520824443580684,0.5549134703545153,0.8315107365702,0.15914976411118076,-0.06688180756336798,-0.07049390236459098,-0.0016307024322468435,0.00037226172590319935,-4.996907279511527e-05,0
2025/05/19 02:18:29.776721457,1747613909,770719555,piren,vessel_center,-489.8900108528991,-315.7908746094718,2.2412403082725647,0.020701831074089096,0.01501848011851719,0.5549584799958531,0.8314847953665792,0.061141799723282736,-0.025991116555587647,-0.026032167635719736,-0.0015577853282343853,-0.0003136158197274559,0.00012281847860262448,0
2025/05/19 02:18:30.146976884,1747613910,127187990,piren,vessel_center,-489.90172890870593,-315.7848522827419,2.2474791450259186,0.021406429530090233,0.014217354111712628,0.555116389137047,0.8313756227652349,-0.019392522967699916,0.010557574454560452,0.011034343361548314,-0.0015408478351346209,8.225319931006495e-05,0.00043991614624703477,0
2025/05/19 02:18:30.436570864,1747613910,432121871,piren,vessel_center,-489.9307272338838,-315.7729341922224,2.2615432339175228,-0.02272138008625865,-0.014923418019656586,0.5552137274210749,0.8312633441724607,-0.062483189402063724,0.025417555276908456,0.030138825539635736,0.0015301589785141007,5.988222759199247e-06,0.00030766881192854787,0
2025/05/19 02:18:30.704707277,1747613910,699164837,piren,vessel_center,-490.03419644541657,-315.7303179553593,2.308779080408944,0.025343392720299503,0.01723083484008002,0.5550846073372772,0.8312291437824827,-0.25815976605485885,0.10618590349072299,0.11858340715332641,-0.0001927601835112186,-0.00024590202755293963,0.00025542359253600687,0
2025/05/19 02:18:30.969105258,1747613910,965320560,piren,vessel_center,-490.0415567204751,-315.7274671226303,2.312220324211341,0.021012107112245784,0.014622118987833301,0.5551565097779927,0.8313518717379103,-0.1317899546125311,0.053815196348887255,0.06067071484749601,-0.0015807991105776114,-0.0005670606674508032,0.0,0
2025/05/19 02:18:31.232362446,1747613911,228613922,piren,vessel_center,-490.0375042548157,-315.7289369474779,2.311355097389442,-0.022881189637749454,-0.014616195577226076,0.5551487568957391,0.831307810443716,-0.03378054633399118,0.014205652789451122,0.017777764037369408,0.0016685854654729564,-6.888044320041133e-05,0.00020927620486161754,0
2025/05/19 02:18:31.498464831,1747613911,491134079,piren,vessel_center,-490.0957993304748,-315.704272160548,2.3386930768337484,0.025197066302177478,0.017425819485404646,0.5550263462928265,0.8312684305240162,-0.14475303618964902,0.06120625550174743,0.06875359737426404,-0.00010381176873187529,0.0005522349395065971,-0.00020927689670458748,0
2025/05/19 02:18:31.765214864,1747613911,758290092,piren,vessel_center,-490.06176002385877,-315.7180156437511,2.323834020915869,0.018469969914490382,0.019733849342619274,0.5549491792672285,0.8314450335603131,0.013777552509691982,-0.004382176497665501,-0.003635368716053869,-0.0011282710812862827,-0.002288513229183139,0.0,0
2025/05/19 02:18:32.28699493,1747613912,21701956,piren,vessel_center,-490.0159300429929,-315.72651615763255,2.3057815326547435,-0.026190458982792746,-0.017394815966771376,0.5554764910581597,0.8309376319059495,0.1079932246570031,-0.020844068967926364,-0.041740742723379076,0.0008440062780967242,-0.0007786907475752384,0.002165673262777736,0
2025/05/19 02:18:32.302637004,1747613912,286848239,piren,vessel_center,-490.0615084077465,-315.7061401393086,2.3269512956304514,0.0007698471745287106,-0.0001985451707921328,0.5560761955220956,0.8311309359474085,-0.06464507960558806,0.03823586042972244,0.032890571389856724,-5.8958199283997846e-05,0.005340976798310265,0.0016876095818296746,0
2025/05/19 02:18:32.557567007,1747613912,550612224,piren,vessel_center,-490.0714433063715,-315.70354419880675,2.332877943651499,0.0014138577835678915,0.0005548114754298672,0.5558659875383959,0.8312705318296557,-0.051215745892704244,0.023001789068257558,0.02799584378740217,-0.0002724307052925482,0.0018924305850084831,0.00021387484701060013,0
2025/05/19 02:18:32.862343619,1747613912,856869974,piren,vessel_center,-490.07369346542436,-315.7029756617888,2.336306842249181,4.746313703759168e-05,0.00043131280259060606,0.5556075695979656,0.8314445503591679,-0.02115174231121203,0.008514905089259691,0.016460232829702867,-0.00011380381050721819,-0.005526303549411022,-0.00047066877935578676,0
2025/05/19 02:18:33.122363670,1747613913,118557285,piren,vessel_center,-490.0669806017042,-315.70382204048997,2.3364100792096436,-0.00511395552964015,-0.00298673003219051,0.5555475361789426,0.8314636864879081,0.005235997485261365,0.002017249776099625,0.007765492977722097,0.0008964618782434308,-0.004522513887664653,-0.00020857593732263898,0
2025/05/19 02:18:33.388449553,1747613913,383665400,piren,vessel_center,-490.06582151595404,-315.700006964658,2.3396752405368733,-0.001580105139616772,-0.0006108212927518151,0.5556459204483261,0.8314173087290333,0.004338768036632942,0.009161662294445767,0.009872705113032117,2.5475200481062523e-05,0.0025631497809652476,0.00018496107951507124,0
2025/05/19 02:18:33.655135667,1747613913,650703368,piren,vessel_center,-490.05810067813803,-315.6970416271214,2.338956377746527,-0.0054555678197188975,-0.002763526961034855,0.5557940405250522,0.8312975304999629,0.01904438604874555,0.010569399562427924,0.002689772215758132,5.220946738375099e-05,0.00502482572164841,0.000784166774798669,0
2025/05/19 02:18:33.922748004,1747613913,918897278,piren,vessel_center,-490.05652276743893,-315.6890244900368,2.340355050541585,-0.022934748320336082,-0.016797621404136244,0.5555815786758166,0.8309759001744478,0.012125812773184193,0.02260264386909518,0.0043260514960756415,0.0002731196838364029,0.004342163281516849,0.0003520999233605117,0
2025/05/19 02:18:34.189802106,1747613914,184592115,piren,vessel_center,-490.09451143879585,-315.66510529546036,2.3577843592790284,-0.025672647409142258,-0.015613331731000851,0.5549144951627847,0.8313645663037941,-0.07104207042957499,0.05647520640336558,0.036435347379234845,-5.868644614199091e-06,-0.005131561348260819,-0.00304801007345536,0
