time,header_stamp_secs,header_stamp_nsecs,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
2025/05/20 13:08:13.271884861,1747739293,270714644,piren,-465.0281387014226,-283.49935634196373,2.304498894402478,0.024123881119533043,0.014574728000510875,0.5046213939209145,0.8628805621062251
2025/05/20 13:08:13.278338310,1747739293,276561627,piren,-465.01946114645176,-283.5042465544834,2.3001690930400662,-0.002980870982351826,-0.001303902245787716,0.5048301102064321,0.8632125891552334
2025/05/20 13:08:13.285875197,1747739293,284692442,piren,-465.01051946145975,-283.50928561675863,2.2957074998850078,-0.025909635424792753,-0.014692058361140587,0.5046226981025734,0.8628260350574422
2025/05/20 13:08:13.292815563,1747739293,292003097,piren,-465.0017637664573,-283.5142198648807,2.2913387093354025,0.001192765957498843,0.0012745266155632074,0.5048349712698851,0.8632141128794241
2025/05/20 13:08:13.722367614,1747739293,721874148,piren,-464.9504952142373,-283.5431121181449,2.265757465771309,-0.002983358024431734,-0.0012964750379066434,0.5048414267895062,0.8632059734064111
2025/05/20 13:08:13.726758420,1747739293,726451220,piren,-464.9414081135716,-283.54823312902784,2.2612233151983716,-0.025914342106607348,-0.014691211105861175,0.5046293331943464,0.8628220275753594
2025/05/20 13:08:13.732585394,1747739293,732288937,piren,-464.93281651263544,-283.5530749023849,2.2569364019418727,0.0012088982636685086,0.0012017407398944874,0.5048417145757271,0.8632102511024891
2025/05/20 13:08:14.217899715,1747739294,216846935,piren,-465.0100801192883,-283.5095512884924,2.29764568838669,0.0012136199515665764,0.00119027149489378,0.5048476122532001,0.8632068111308113
2025/05/20 13:08:14.220242247,1747739294,219979105,piren,-465.01769796879375,-283.5052602891814,2.301690639919996,0.024126959986352253,0.01457093620274594,0.5046386064044838,0.8628704737943773
2025/05/20 13:08:14.227962944,1747739294,227634765,piren,-465.0238391336099,-283.50180108012563,2.304951496415208,-0.002977971045559071,-0.0013092330324979205,0.5048472199261511,0.8632025846405669
