time,header_stamp_secs,header_stamp_nsecs,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
2025/04/09 09:49:46.628457013,1744184986,627028073,piren,-479.9985222039739,-300.00219534388026,2.3315542472465807,-0.0007981704144731937,0.0004028195470696222,-7.410182330972292e-05,0.99999959758458
2025/04/09 09:49:46.839593385,1744184986,838166422,piren,-479.99848985089875,-300.0022014506036,2.331553833024817,-0.0007979333460042543,0.00040317295745541203,-7.431368315854787e-05,0.9999995976156282
2025/04/09 09:49:46.907573372,1744184986,904214031,piren,-479.998464265435,-300.0022028124629,2.331553271437552,-0.0007970962405942414,0.00040333595240617693,-7.509025739820651e-05,0.9999995981594924
2025/04/09 09:49:46.964476240,1744184986,963404526,piren,-479.9984278764523,-300.00220398808534,2.3315522301059035,-0.0007963793317493547,0.0004029300350856127,-7.509102322459703e-05,0.9999995988942622
2025/04/09 09:49:47.69967933,1744184987,68686947,piren,-479.9983843571561,-300.00220514705376,2.3315509373578767,-0.0007954879302098643,0.0004033984046003442,-7.293199576641753e-05,0.9999995995747218
2025/04/09 09:49:47.173418610,1744184987,172919154,piren,-479.99835749512755,-300.0022099169505,2.331549379690281,-0.0007947617712419922,0.00040267757759761876,-7.268991672982066e-05,0.9999996004602559
2025/04/09 09:49:47.278653142,1744184987,277705152,piren,-479.9983319819014,-300.0022169908136,2.331547705092897,-0.000795488281291829,0.0004030049554577807,-7.22224829692007e-05,0.9999995997845765
2025/04/09 09:49:47.439440118,1744184987,438916226,piren,-479.9982956829488,-300.00221587040073,2.3315466903126687,-0.0007429834514600912,0.0004029631351730144,-7.12146450830333e-05,0.9999996402623237
2025/04/09 09:49:47.494294195,1744184987,492959930,piren,-479.9982741568951,-300.00230589743325,2.331510001860592,-0.0008028770927063476,0.000402426638717233,-7.2461443190061e-05,0.9999995940951745
2025/04/09 09:49:47.547257727,1744184987,546813390,piren,-479.9982734495159,-300.00226621263045,2.3315257042756574,-0.0008006037378618365,0.0004028013917053923,-7.246192181116929e-05,0.9999995957669001
2025/04/09 09:49:47.604826188,1744184987,601480831,piren,-479.99827222444924,-300.0022404167543,2.3315357404081043,-0.0007976610063723764,0.00040224327237481643,-7.367065795924391e-05,0.9999995982548707
2025/04/09 09:49:47.666334665,1744184987,657246786,piren,-479.9982743175683,-300.0022384473221,2.3315404215293274,-0.00079652504825407,0.00040243740992672663,-7.36709053986155e-05,0.9999995990822078
2025/04/09 09:49:47.770301525,1744184987,769967705,piren,-479.99826479151915,-300.00223621511503,2.3315435393069635,-0.0007962195632441222,0.00040248448541799567,-7.177389387437146e-05,0.999999599444497
2025/04/09 09:49:47.876204941,1744184987,875704168,piren,-479.99825688628425,-300.00223473938075,2.331545793745626,-0.0007971993583739964,0.0004029781113129934,-7.152093743710715e-05,0.9999995984832096
2025/04/09 09:49:47.983950591,1744184987,983476589,piren,-479.9982536715232,-300.00223557596047,2.331548203939902,-0.0007976875944389997,0.00040249229726030975,-7.130972905357893e-05,0.9999995983046068
2025/04/09 09:49:48.39661783,1744184988,39229267,piren,-479.998244166944,-300.00223055333464,2.3315499030391322,-0.0007985676830180088,0.00040310353382627136,-7.20083340136176e-05,0.9999995973059171
2025/04/09 09:49:48.95490411,1744184988,94455358,piren,-479.998233379684,-300.0022233919329,2.331551672044557,-0.0007976880443467464,0.00040277715573438534,-7.200908055919066e-05,0.9999995981394388
2025/04/09 09:49:48.149333358,1744184988,148900025,piren,-479.9982230050299,-300.00222525033644,2.331552277392432,-0.0007980604006709512,0.0004025279135397846,-7.20677811755808e-05,0.9999995979384745
2025/04/09 09:49:48.205199722,1744184988,203876066,piren,-479.99820872302274,-300.00221961004974,2.3315528954585987,-0.0007971728582771023,0.00040302791816897914,-7.150389624563605e-05,0.9999995984854815
2025/04/09 09:49:48.257600034,1744184988,257187255,piren,-479.99818097717326,-300.00222588947355,2.331552676095163,-0.000797198905859258,0.0004027650409230682,-7.150416766661938e-05,0.9999995985706096
2025/04/09 09:49:48.312761200,1744184988,312330485,piren,-479.9981508617894,-300.00220731084755,2.3315528193477726,-0.0007961259622280579,0.0004025789556399911,-7.220500896009757e-05,0.9999995994499565
2025/04/09 09:49:48.415814163,1744184988,415358400,piren,-479.99810964427013,-300.0022182399229,2.3315520958605793,-0.0007960980694091795,0.00040251317950688653,-7.186383487001463e-05,0.9999995995232165
2025/04/09 09:49:48.522295276,1744184988,521179727,piren,-479.99806749693073,-300.00221927552957,2.3315513570101674,-0.0007965388904455467,0.00040251118915864397,-7.174628139113246e-05,0.9999995991814246
2025/04/09 09:49:48.633518493,1744184988,633110361,piren,-479.9980323337399,-300.00222563827793,2.331550943020823,-0.0007967379769943633,0.0004025044138346729,-7.163711627098983e-05,0.9999995990333779
2025/04/09 09:49:48.690547854,1744184988,688861638,piren,-479.9980254775011,-300.00222341996704,2.3315506619465354,-0.0007958299003846237,0.00040269181475552737,-7.163722558020785e-05,0.9999995996810098
2025/04/09 09:49:48.745395332,1744184988,745021079,piren,-479.99800562154684,-300.00222445078805,2.3315498241141066,-0.0007967908427596591,0.0004025223079008216,-7.132281699409265e-05,0.9999995990065198
2025/04/09 09:49:48.800056403,1744184988,799642688,piren,-479.99799689826693,-300.0022196383853,2.3315498912603276,-0.0007955870571511133,0.00040270217678403506,-7.098570391985078e-05,0.9999995999165305
2025/04/09 09:49:48.853849097,1744184988,853565927,piren,-479.9979792477955,-300.00222852042504,2.33154909954574,-0.0007966761773579762,0.0004025163375127237,-7.098530604260555e-05,0.9999995991242961
2025/04/09 09:49:48.908279089,1744184988,906958789,piren,-479.99796244140384,-300.00222492062977,2.3315492259776462,-0.0007964259229562049,0.00040248263620069836,-7.135852290161525e-05,0.9999995993106388
2025/04/09 09:49:49.14211357,1744184989,12064509,piren,-479.9979525642694,-300.00222349781757,2.3315491837661124,-0.0007971261279429029,0.00040241811188467257,-7.108706162692586e-05,0.9999995987980341
2025/04/09 09:49:49.88828097,1744184989,88512884,piren,-479.9979549891603,-300.0022135198473,2.33154971017758,-0.0007985947646203303,0.00040259356648928525,-7.110073512670766e-05,0.9999995975546728
2025/04/09 09:49:49.142516140,1744184989,142094162,piren,-479.99795038511957,-300.0022103034966,2.3315511072503625,-0.0007991456012006226,0.00040275377590143414,-7.11004007527025e-05,0.9999995970501375
2025/04/09 09:49:49.197790224,1744184989,196258825,piren,-479.997953165644,-300.0022160616453,2.331552485151104,-0.000797270880547929,0.00040243909293343405,-7.10864611752095e-05,0.9999995986742368
2025/04/09 09:49:49.251373995,1744184989,250031024,piren,-479.99795406497526,-300.00221895511027,2.3315521539713018,-0.000798702085234982,0.00040258286780072154,-7.108583200513463e-05,0.9999995974743281
2025/04/09 09:49:49.305016052,1744184989,304700939,piren,-479.9979535603123,-300.00221882764646,2.3315530357170893,-0.0007985248048163605,0.0004023499667549281,-7.086019373867699e-05,0.9999995977256558
2025/04/09 09:49:49.410045108,1744184989,409667392,piren,-479.99794769315895,-300.0022140482582,2.3315535329821424,-0.0007979722857621923,0.00040245653619637786,-7.061861436071449e-05,0.9999995981409088
2025/04/09 09:49:49.515899377,1744184989,514626063,piren,-479.99793765002124,-300.0022185247355,2.3315534580869857,-0.0007971488374035673,0.00040294068285095077,-7.050584334215073e-05,0.999999598610651
2025/04/09 09:49:49.619041640,1744184989,617903012,piren,-479.9979218318007,-300.00222204793505,2.331552746693168,-0.0007970438100251024,0.0004026441808044732,-7.040018299479226e-05,0.9999995988212409
2025/04/09 09:49:49.723973086,1744184989,723614354,piren,-479.9978949494088,-300.00223212299835,2.331552059719058,-0.0007972730415409289,0.0004024118512984361,-7.02983076096415e-05,0.9999995987391931
2025/04/09 09:49:49.830632171,1744184989,830230148,piren,-479.99786421008895,-300.00223471391075,2.331551663347337,-0.0007971066211908937,0.0004026042412264256,-7.020423042529861e-05,0.9999995988010323
2025/04/09 09:49:49.886380860,1744184989,885116134,piren,-479.9978243315623,-300.002230176638,2.3315512774401084,-0.00079629919293176,0.00040268827792340223,-7.020444295366043e-05,0.999999599410461
2025/04/09 09:49:49.941927702,1744184989,941016091,piren,-479.9978020454875,-300.0022299862698,2.331550441016549,-0.000796730309856333,0.0004028058740866773,-6.992767129865285e-05,0.9999995990391006
2025/04/09 09:49:49.996829126,1744184989,996499734,piren,-479.9977817332778,-300.0022301646811,2.331550148297315,-0.0007957391191036197,0.0004024927274783544,-6.96128968821858e-05,0.9999995999763717
2025/04/09 09:49:50.53380179,1744184990,52221766,piren,-479.9977637245715,-300.002230778897,2.331549262213307,-0.0007962171443390576,0.0004022296773409873,-6.961282261988094e-05,0.9999995997017203
2025/04/09 09:49:50.109888522,1744184990,108727996,piren,-479.9977359205002,-300.00223522422425,2.331548811444144,-0.0007956396154418059,0.0004024851504666811,-7.002416277850859e-05,0.9999996000298814
2025/04/09 09:49:50.216704538,1744184990,215281827,piren,-479.9977038739349,-300.0022376985542,2.331548133819682,-0.0007961582899726341,0.00040232252303397777,-6.983569774909003e-05,0.99999959969569
2025/04/09 09:49:50.320801227,1744184990,320360253,piren,-479.9976743647723,-300.0022428899674,2.331548075899722,-0.0007970910733157623,0.00040215189381624525,-6.975292737802208e-05,0.9999995990270217
