time,header_stamp_secs,header_stamp_nsecs,header_frame_id,quaternion_x,quaternion_y,quaternion_z,quaternion_w
2025/05/14 14:46:32.234858933,1747226792,224779312,,-0.00024397166091170075,-7.66608132898466e-06,-0.09002546637494435,0.9959394338126358
2025/05/14 14:46:32.326439953,1747226792,325468569,,-0.00020857229070353416,-1.1122227191411573e-05,-0.09004492477130097,0.9959376827376432
2025/05/14 14:46:32.459599183,1747226792,431156360,,-0.000221997689560233,5.0071944025387374e-06,-0.09005439547534978,0.9959368235724207
2025/05/14 14:46:32.524323233,1747226792,521833797,,-0.00027963294079177584,1.4246800676460084e-05,-0.09006095497039535,0.9959362158252242
2025/05/14 14:46:32.619582081,1747226792,618346092,,-0.0003723068775373147,4.3238459522048636e-05,-0.09007110417660277,0.9959352668273336
2025/05/14 14:46:32.718029188,1747226792,716136219,,-0.0004667412163363822,5.6506244524105205e-05,-0.0900842257250412,0.9959340396006159
2025/05/14 14:46:32.826558722,1747226792,814908004,,-0.0005393467345081321,7.901263758362113e-05,-0.09009748212173563,0.9959328022399034
2025/05/14 14:46:32.927527670,1747226792,922182928,,-0.0005831942289722041,7.99238827306244e-05,-0.09010555449122341,0.9959320471530643
2025/05/14 14:46:33.14683921,1747226793,14386261,,-0.0005859131860474937,8.362922093335623e-05,-0.0901011983639578,0.9959324393578465
2025/05/14 14:46:33.120825196,1747226793,119836373,,-0.0005455693586155493,6.326874711032344e-05,-0.09009455641709152,0.9959330646459872
2025/05/14 14:46:33.215731862,1747226793,213959120,,-0.0004441280552532258,4.862871724576054e-05,-0.09010640921960904,0.995932043566762
2025/05/14 14:46:33.329566708,1747226793,324449807,,-0.0003317146846637887,1.9907731383284086e-05,-0.09013201223086709,0.9959297715904797
2025/05/14 14:46:33.424827173,1747226793,422182373,,-0.00024258064838149956,1.0271368258290812e-05,-0.09015759468208341,0.9959274818832289
2025/05/14 14:46:33.524639874,1747226793,524198478,,-0.00020189935955503276,-6.652047250292133e-06,-0.09017872535380436,0.9959255778851962
2025/05/14 14:46:33.625603789,1747226793,625264212,,-0.00020960779187181424,-1.591658372381208e-06,-0.09019889972157642,0.9959237493659127
2025/05/14 14:46:33.720453552,1747226793,720047994,,-0.00026145900427014307,-5.361150923888994e-06,-0.09020828482658438,0.9959228870545616
2025/05/14 14:46:33.828027574,1747226793,826148915,,-0.0003429785802037491,1.0903668144643067e-05,-0.09021341563605727,0.9959223975220557
2025/05/14 14:46:33.922956080,1747226793,922350094,,-0.00043649327708460985,1.760037840184867e-05,-0.09021805890158789,0.9959219402201537
2025/05/14 14:46:34.17734108,1747226794,16910536,,-0.0005372759768822485,4.404767445761616e-05,-0.09022099743978085,0.9959216239319729
2025/05/14 14:46:34.115244538,1747226794,113168549,,-0.000605364892097722,5.520000980412484e-05,-0.09022540106702288,0.9959211853799482
2025/05/14 14:46:34.216858045,1747226794,216488518,,-0.0005842922263935287,7.220791748069832e-05,-0.09025388393633456,0.9959186160640926
2025/05/14 14:46:34.321522401,1747226794,320823094,,-0.0005209640916743756,6.702874072212435e-05,-0.09028291194919795,0.9959160205125412
2025/05/14 14:46:34.416941120,1747226794,416455745,,-0.00043896020167781834,6.527442218679472e-05,-0.09029753910522959,0.9959147340433973
2025/05/14 14:46:34.518306266,1747226794,516527002,,-0.0003543529980430918,4.646890060811868e-05,-0.09031221424467688,0.9959134381224192
2025/05/14 14:46:34.619511564,1747226794,619253384,,-0.00028171792135433637,4.0235059831761456e-05,-0.09032558288421837,0.9959122491930597
2025/05/14 14:46:34.720586612,1747226794,719992962,,-0.0002367522991023646,1.9993707697942566e-05,-0.09033875960016952,0.995911066342022
2025/05/14 14:46:34.815142950,1747226794,814018132,,-0.00022660275676969916,1.7049711197484794e-05,-0.09035180855354008,0.995909885005467
2025/05/14 14:46:34.915716637,1747226794,915418449,,-0.00025456839016697544,4.1949592601750145e-06,-0.09036440490972165,0.995908735528838
2025/05/14 14:46:35.17293066,1747226795,16675851,,-0.0002926481443221158,8.000706514356137e-06,-0.090377684564071,0.9959075200167381
2025/05/14 14:46:35.120116013,1747226795,118533692,,-0.00034780475720484744,5.935364066042417e-06,-0.09040017298842612,0.9959054612362988
2025/05/14 14:46:35.217562293,1747226795,217429062,,-0.000413321980780497,2.4604855683602723e-05,-0.09042485213603801,0.9959031954340326
2025/05/14 14:46:35.317049559,1747226795,316829677,,-0.000477857720616563,3.203156536747915e-05,-0.09044894621367669,0.99590097838832
2025/05/14 14:46:35.417944240,1747226795,417744056,,-0.0005604807771233927,5.670701340562529e-05,-0.09044811373975344,0.9959010098230314
2025/05/14 14:46:35.517735297,1747226795,517315130,,-0.0006215766722864694,6.570713551383874e-05,-0.09043240442760715,0.9959023996127605
2025/05/14 14:46:35.617312196,1747226795,616936668,,-0.0006317153482147395,8.236026986026508e-05,-0.09041178898458,0.9959042637548614
2025/05/14 14:46:35.719889099,1747226795,718561058,,-0.0005910249820003175,7.585462487828159e-05,-0.09039040017528086,0.995906230772606
2025/05/14 14:46:35.812805676,1747226795,812488691,,-0.0005100352101629367,7.558691180656495e-05,-0.09036835320290289,0.99590827634381
2025/05/14 14:46:35.920560928,1747226795,919592238,,-0.0004132971649739322,5.369038717557079e-05,-0.09034357977361324,0.9959105702303217
2025/05/14 14:46:36.14377041,1747226796,14188641,,-0.0003137369853675936,4.095101167813732e-05,-0.09031900947415968,0.9959128357540761
2025/05/14 14:46:36.115182763,1747226796,114485665,,-0.0002389335228731676,1.3070894650597424e-05,-0.09028956097818677,0.9959155275013487
2025/05/14 14:46:36.215552754,1747226796,215349981,,-0.00018259973792954836,1.1019236744507195e-06,-0.09026399194372176,0.9959178572625883
2025/05/14 14:46:36.317823593,1747226796,316460888,,-0.00015921743816398452,-1.8888762812951158e-05,-0.09023996837317072,0.9959200381561921
2025/05/14 14:46:36.420826092,1747226796,419422660,,-0.00017547027415845313,-1.4613177330745468e-05,-0.09022219212956502,0.9959216460364609
2025/05/14 14:46:36.517590389,1747226796,514924720,,-0.00022753752759037052,-1.950693873123516e-05,-0.09019433971587144,0.9959241582215841
2025/05/14 14:46:36.619141216,1747226796,617743159,,-0.0003000990541846809,1.9493063831126974e-06,-0.09016597688197926,0.9959267074186113
2025/05/14 14:46:36.720731945,1747226796,718519588,,-0.0003790634670688715,1.7424732882612722e-05,-0.09013887058484238,0.9959291340336197
2025/05/14 14:46:36.813826945,1747226796,811431340,,-0.00044678171753704166,3.804128012271675e-05,-0.09011399700144375,0.9959313563109566
2025/05/14 14:46:36.916576445,1747226796,916424302,,-0.0004919399725002351,5.2650215624068404e-05,-0.09010222148834868,0.9959323997671141
2025/05/14 14:46:37.19501238,1747226797,17141032,,-0.0004616758683589092,6.970552212297442e-05,-0.09012035751925472,0.9959307722714137
2025/05/14 14:46:37.124612724,1747226797,124338456,,-0.0004156151131397707,6.86105854911935e-05,-0.09013466057119474,0.9959294982680154
2025/05/14 14:46:37.220096805,1747226797,218475993,,-0.00041494883627829916,7.935365203491818e-05,-0.09010449648225398,0.9959322272294138
2025/05/14 14:46:37.322317033,1747226797,321988192,,-0.0004066580584149475,6.971057237722073e-05,-0.09006996585904425,0.9959353548397658
2025/05/14 14:46:37.413890302,1747226797,412671861,,-0.0003718943131658031,5.470720273656417e-05,-0.0900511136133736,0.9959370741360787
2025/05/14 14:46:37.517220961,1747226797,516995245,,-0.0003346466681842473,3.057945675937833e-05,-0.09003507853563646,0.9959385381184855
2025/05/14 14:46:37.614999960,1747226797,614874698,,-0.00030317115636665305,2.0303298051819762e-05,-0.09002054881238124,0.9959398618724645
2025/05/14 14:46:37.717169525,1747226797,717029667,,-0.00028465640983225553,3.848065160553668e-06,-0.09000780319774782,0.9959410194983618
2025/05/14 14:46:37.819729050,1747226797,819039975,,-0.0002531494771635626,4.263235522780484e-06,-0.09001625903954688,0.9959402637737327
2025/05/14 14:46:37.921497906,1747226797,921331309,,-0.0002464885941551187,-3.8492267759198055e-06,-0.09003003039835292,0.995939020650877
2025/05/14 14:46:38.19182100,1747226798,18920195,,-0.0002754700313872549,1.0250251393165958e-05,-0.09004904830088492,0.9959372936642643
2025/05/14 14:46:38.122335975,1747226798,120744668,,-0.00033380010689594835,1.5813879956968795e-05,-0.09006909345825166,0.995935463135548
2025/05/14 14:46:38.215390955,1747226798,213453227,,-0.0004040379161436162,3.622820795890017e-05,-0.090080720599436,0.995934384995902
2025/05/14 14:46:38.318479326,1747226798,317864851,,-0.00045799954331912266,3.966948202891282e-05,-0.09008627119292292,0.9959338594531796
2025/05/14 14:46:38.423790483,1747226798,421355593,,-0.0004795730491231386,5.5326337625515157e-05,-0.09009061276555008,0.9959334558293614
2025/05/14 14:46:38.522239144,1747226798,522060309,,-0.00046522712558001803,5.43444919131733e-05,-0.090094866477192,0.9959330778947222
2025/05/14 14:46:38.620423809,1747226798,620076329,,-0.0004247550592137523,6.328399488674328e-05,-0.09009336784477111,0.9959332310193603
2025/05/14 14:46:38.718152663,1747226798,717300342,,-0.00035346345564751016,5.4463541144642155e-05,-0.09009091225811505,0.9959334815266574
2025/05/14 14:46:38.822904767,1747226798,822219569,,-0.0002817286299252786,5.9399077391961083e-05,-0.09008768664114425,0.9959337959002976
2025/05/14 14:46:38.916752999,1747226798,914612545,,-0.00022347908957666204,5.2229999299328837e-05,-0.09009041801871942,0.9959335640043145
2025/05/14 14:46:39.19665528,1747226799,18267452,,-0.00015233160013794223,6.391477219227974e-05,-0.09013194717118514,0.9959298192187621
