time,north,east,heading
2025/05/07 10:29:51.627506107,263.0793528140697,1015.7898924454843,1.144608028300311e-05
2025/05/07 10:29:51.716738512,263.07935836604724,1015.7898933681562,1.134788843777607e-05
2025/05/07 10:29:51.816536715,263.0793638703964,1015.7898942829128,1.1250538945409635e-05
2025/05/07 10:29:51.915762371,263.0793693275256,1015.789895189822,1.115402457965869e-05
2025/05/07 10:29:52.18125966,263.0793747378401,1015.7898960889512,1.1058338176269506e-05
2025/05/07 10:29:52.117046623,263.07938010174144,1015.7898969803671,1.0963472632447929e-05
2025/05/07 10:29:52.215822104,263.0793854196278,1015.7898978641358,1.0869420906332151e-05
2025/05/07 10:29:52.318276166,263.0793906918939,1015.789898740323,1.0776176016469988e-05
2025/05/07 10:29:52.417737075,263.0793959189311,1015.7898996089937,1.0683731041300643e-05
2025/05/07 10:29:52.517022609,263.07940110112736,1015.7899004702124,1.0592079118640926e-05
2025/05/07 10:29:52.617492936,263.0794062388674,1015.789901324043,1.0501213445175873e-05
2025/05/07 10:29:52.716321980,263.07941133253263,1015.7899021705489,1.0411127275953734e-05
2025/05/07 10:29:52.816867993,263.0794163825011,1015.7899030097929,1.0321813923885296e-05
2025/05/07 10:29:52.917241153,263.07942138914774,1015.7899038418373,1.0233266759247506e-05
2025/05/07 10:29:53.15878766,263.0794263528441,1015.7899046667438,1.014547920919134e-05
2025/05/07 10:29:53.116997164,263.07943127395873,1015.7899054845739,1.0058444757253905e-05
2025/05/07 10:29:53.227317324,263.07943615285683,1015.789906295388,9.972156942874722e-06
2025/05/07 10:29:53.315975062,263.0794409899006,1015.7899070992465,9.886609360916159e-06
2025/05/07 10:29:53.419401104,263.0794457854491,1015.789907896209,9.801795661187979e-06
2025/05/07 10:29:53.516761782,263.07945053985827,1015.7899086863346,9.717709547975963e-06
2025/05/07 10:29:53.615969941,263.0794552534811,1015.789909469682,9.63434477957458e-06
2025/05/07 10:29:53.718914653,263.0794599266674,1015.7899102463093,9.551695167823673e-06
2025/05/07 10:29:53.819581025,263.0794645597642,1015.7899110162742,9.469754577649102e-06
2025/05/07 10:29:53.917711055,263.0794691531152,1015.7899117796339,9.388516926607343e-06
2025/05/07 10:29:54.16681369,263.07947370706154,1015.7899125364451,9.307976184433988e-06
2025/05/07 10:29:54.119947985,263.07947822194114,1015.7899132867637,9.228126372596122e-06
2025/05/07 10:29:54.223738129,263.07948269808924,1015.7899140306457,9.148961563848532e-06
2025/05/07 10:29:54.317015473,263.07948713583806,1015.7899147681462,9.070475881793728e-06
2025/05/07 10:29:54.416455712,263.07949153551704,1015.7899154993199,8.992663500445744e-06
2025/05/07 10:29:54.515755358,263.0794958974527,1015.7899162242212,8.91551864379767e-06
2025/05/07 10:29:54.616560978,263.0795002219689,1015.7899169429038,8.839035585392905e-06
2025/05/07 10:29:54.718531863,263.0795045093866,1015.789917655421,8.763208647900075e-06
2025/05/07 10:29:54.816344406,263.07950876002405,1015.7899183618258,8.688032202691611e-06
2025/05/07 10:29:54.916757554,263.0795129741968,1015.7899190621706,8.613500669425937e-06
2025/05/07 10:29:55.16060409,263.07951715221765,1015.7899197565074,8.539608515633235e-06
2025/05/07 10:29:55.115916060,263.0795212943968,1015.7899204448877,8.46635025630478e-06
2025/05/07 10:29:55.215731218,263.0795254010416,1015.7899211273626,8.393720453485777e-06
2025/05/07 10:29:55.315966418,263.079529472457,1015.7899218039829,8.321713715871714e-06
2025/05/07 10:29:55.418738676,263.0795335089452,1015.7899224747987,8.250324698408156e-06
