time,layout_data_offset,data_0,data_1,data_2,data_3
2025/05/21 13:29:49.482560822,0,63.02376213224207,63.023762132242126,63.02376213224212,63.0237621322421
2025/05/21 13:29:49.579760600,0,63.024474323644455,63.02447432364447,63.02447432364447,63.02447432364453
2025/05/21 13:29:49.679964100,0,63.025162322791815,63.02516232279182,63.02516232279182,63.02516232279188
2025/05/21 13:29:49.781066098,0,63.02582695146489,63.02582695146497,63.0258269514649,63.02582695146497
2025/05/21 13:29:49.879758842,0,63.026469003529606,63.02646900352967,63.02646900352961,63.02646900352967
2025/05/21 13:29:49.979855700,0,63.027089245885215,63.02708924588527,63.02708924588526,63.02708924588528
2025/05/21 13:29:50.79844388,0,63.02768841938036,63.0276884193804,63.02768841938041,63.02768841938046
2025/05/21 13:29:50.179760113,0,63.02826723969798,63.028267239698096,63.02826723969807,63.028267239698074
2025/05/21 13:29:50.280287174,0,63.028826398210235,63.02882639821033,63.0288263982103,63.028826398210285
2025/05/21 13:29:50.379954721,0,63.02936656280411,63.02936656280419,63.02936656280413,63.02936656280418
2025/05/21 13:29:50.479838452,0,63.02988837867934,63.02988837867944,63.029888378679374,63.02988837867937
2025/05/21 13:29:50.579938928,0,63.030392469119064,63.03039246911915,63.03039246911912,63.030392469119086
2025/05/21 13:29:50.679931586,0,63.030879436234244,63.03087943623434,63.030879436234265,63.03087943623429
2025/05/21 13:29:50.780226475,0,62.905560345966414,70.53191019995568,62.90741667289096,70.67372512818301
2025/05/21 13:29:50.880011275,0,62.87921480261521,69.93995897608507,62.88008084945973,70.07811786965887
2025/05/21 13:29:50.979962697,0,63.17192973995797,68.58602406708543,63.16790404826507,68.715625245397
2025/05/21 13:29:51.79883528,0,63.415091297595815,67.70430429913881,63.4114679226203,67.82333813692307
2025/05/21 13:29:51.180624145,0,63.426421215442225,67.09439042141344,63.424962509136876,67.1830353211005
2025/05/21 13:29:51.279834522,0,63.38002293427284,66.99209526198132,63.379529495725095,67.07532842019634
