time,header_stamp_secs,header_stamp_nsecs,header_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
2025/05/25 18:47:31.721896093,1748191650,774356140,mA1/imu,0.7877137653247346,0.6160408624606074,0.00012533689972712351,0.0008148542087518221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.844792547423563e-05,-7.420110245601271e-05,-4.611857720224213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007049138281759194,-0.5330809645929793,9.80876248400125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:31.730436856,1748191650,814163115,mA1/imu,0.787713026688274,0.6160417524346078,0.00015145497794658404,0.0008508256494254782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019229951305805716,-5.5947317678916774e-05,-4.520185587034136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007959416277012195,0.6019720979153306,9.81120860538226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:31.743589525,1748191650,865140791,mA1/imu,0.7877122927426267,0.6160426222551592,0.00018316119215147972,0.0008932407957423427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033672100367400436,-3.7651532957645284e-05,-4.4363549017275756e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008003628748152962,0.4896734349137817,9.810531530179782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:31.754968818,1748191650,915237684,mA1/imu,0.787711578319186,0.6160434766095957,0.00020922355966859508,0.0009276498054080014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001593136278510009,-1.9015540873311345e-05,-4.3527205464888896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007108291322861992,-0.6326133359614071,9.809058151900716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:31.763858052,1748191650,966372141,mA1/imu,0.7877108831187065,0.6160443179702616,0.00022967795536788985,0.0009540235527336684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.772280797558072e-06,2.06699667241422e-06,-4.2791079581465005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007079675651678583,-0.5337244484900098,9.808708921279718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:31.773851088,1748191651,18389263,mA1/imu,0.7877101930990906,0.6160451450024129,0.00025310280328695714,0.0009833339821443935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015200407058230897,2.4791991736866173e-05,-4.218855184699455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008014133287299748,0.6018876755947361,9.81098075975674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:32.172206666,1748191651,217298620,mA1/imu,0.7877076094390987,0.6160483354455043,0.0003035521543662214,0.0010384038969562083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003312387641589597,8.162673996755933e-05,-3.937777761156256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00806914786952296,0.5921982747924129,9.810897652958388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:32.182674368,1748191651,270142142,mA1/imu,0.7877070039775941,0.6160491071339153,0.0003065144192482045,0.0010390058031704169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006220160089077647,7.774030261622683e-05,-3.8982241716673634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008034577581703969,0.24388769395890847,9.810242819464618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:32.373655440,1748191651,421537775,mA1/imu,0.7877052998909184,0.6160513890235755,0.00027194851511718306,0.000986230138859052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008972870065015084,5.789016068502983e-05,-3.7704061759721215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008057115674693367,-0.04421241456401881,9.81013749585097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025/05/25 18:47:32.375980595,1748191651,476102910,mA1/imu,0.7877047536921374,0.6160521371808843,0.0002529420136545732,0.0009598468688999924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042431359777647974,5.1346109817991316e-05,-3.739449343306308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008500923098628991,0.45086704855521587,9.810659073410527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
