time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2025/05/07 10:40:42.742515668,1746607242,739200172,hemisphere,2,1,63.441462891,10.419024269666666,43.147,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:42.783765485,1746607242,783319958,hemisphere,2,1,63.4414628785,10.419024124333333,43.147,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:42.846963982,1746607242,833739128,hemisphere,2,1,63.441462865666665,10.419023963,43.144999999999996,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:42.884540327,1746607242,884010898,hemisphere,2,1,63.441462863333335,10.419023814166668,43.143,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:42.935411495,1746607242,933719155,hemisphere,2,1,63.441462840166665,10.419023645333333,43.147999999999996,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:42.991706813,1746607242,989990474,hemisphere,2,1,63.44146284766666,10.419023487,43.152,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:43.47251342,1746607243,35630169,hemisphere,2,1,63.44146283133333,10.419023340333334,43.146,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:43.92791457,1746607243,83670922,hemisphere,2,1,63.441462803,10.419023183333334,43.147999999999996,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:43.135289134,1746607243,134166359,hemisphere,2,1,63.44146279183333,10.419023066166666,43.149,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:43.196928068,1746607243,183646105,hemisphere,2,1,63.44146278466667,10.419022915833333,43.15,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
2025/05/07 10:40:43.233835776,1746607243,233325453,hemisphere,2,1,63.4414627585,10.4190227755,43.149,0.000256,0.0,0.0,0.0,0.000256,0.0,0.0,0.0,0.004096,1
