time,header_stamp_secs,header_stamp_nsecs,header_frame_id,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z
2025/05/07 10:32:25.241283546,1746606745,240728016,hemisphere,-0.07657753303822909,-0.07620421605705208,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.291575283,1746606745,291176906,hemisphere,-0.10470460303811575,-0.02661103556274244,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.346695271,1746606745,342576668,hemisphere,-0.06867399317001478,-0.08339714487424438,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.394422267,1746606745,394068702,hemisphere,-0.10718381980438994,-0.01352146009981942,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.441924292,1746606745,441540358,hemisphere,-0.09901131313571225,-0.027980052321497948,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.499400750,1746606745,498463989,hemisphere,-0.07482895222579566,-0.07792194183848689,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.540811052,1746606745,540363260,hemisphere,-0.1058757952142957,-0.0214829490254821,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.594808607,1746606745,593808761,hemisphere,-0.09548412193040026,-0.038326308404962324,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.642106180,1746606745,641420767,hemisphere,-0.08930126669196138,-0.05110192974813202,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.692335638,1746606745,691930197,hemisphere,-0.09683655445851624,-0.03476787565231227,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.743287775,1746606745,741685003,hemisphere,-0.07136921790912247,-0.07411179522729175,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.792941995,1746606745,791304971,hemisphere,-0.10238016197592215,-0.010218898695836717,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.841050823,1746606745,840708740,hemisphere,-0.08759631222678282,-0.04336891172262171,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.890661821,1746606745,890353769,hemisphere,-0.08700558327397405,-0.04454216989429392,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.941124422,1746606745,940798416,hemisphere,-0.08562944225426655,-0.047133587164142385,0.0,0.0,0.0,0.0
2025/05/07 10:32:25.990604793,1746606745,990131012,hemisphere,-0.09772740043533609,-0.0018252736474425619,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.41445534,1746606746,41027787,hemisphere,-0.09370475387599363,-0.02780998958604686,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.91322579,1746606746,90757347,hemisphere,-0.08170777372214814,-0.04357292408543884,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.144565300,1746606746,144186896,hemisphere,-0.08352365337978429,-0.03998198752036758,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.191732730,1746606746,191405536,hemisphere,-0.08476462766994747,0.021527472993661475,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.242914786,1746606746,240832523,hemisphere,-0.0855728981300322,-0.018048637154776555,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.294653086,1746606746,293201162,hemisphere,-0.07488204055943334,-0.03417307440060595,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.341251414,1746606746,340729764,hemisphere,-0.0742327913761311,0.021075747411229567,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.394789858,1746606746,394107232,hemisphere,-0.06117941508103137,-0.0470294972839071,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.441445822,1746606746,440827765,hemisphere,-0.07007021025512108,0.016654312613293948,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.491490860,1746606746,491109931,hemisphere,-0.07183609986374503,-0.005174480668071663,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.541932861,1746606746,541525076,hemisphere,-0.06624265550054648,0.02826855295295671,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.592848993,1746606746,590686278,hemisphere,-0.058633537139988125,0.032167460001369906,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.646914068,1746606746,646502754,hemisphere,-0.06616883573133488,-0.009711968824379557,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.691216842,1746606746,690657556,hemisphere,-0.05580742398198994,0.02639196606795847,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.741452119,1746606746,741093218,hemisphere,-0.05236425184235808,0.03269540599882431,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.797355309,1746606746,792025555,hemisphere,-0.05479292033007788,0.02843836011691948,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.842118584,1746606746,840488716,hemisphere,-0.05655971097567302,0.001816986522187445,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.891645103,1746606746,890321133,hemisphere,-0.04144706485016081,0.038528472082085506,0.0,0.0,0.0,0.0
2025/05/07 10:32:26.941483762,1746606746,940816097,hemisphere,-0.052784130024498555,0.020399459875945446,0.0,0.0,0.0,0.0
