time,header_stamp_secs,header_stamp_nsecs,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z,gps_status
2025/05/20 12:56:12.532970844,1747738572,430645223,piren,vessel_center,-454.3258822956692,-279.845999737882,2.3534761342481993,0.0006612336333140945,-0.0011235932315838866,-0.6705882264133931,0.741828639851598,0.10289879575925626,-0.17538395866195056,0.022575742833651477,0.003022339938942847,0.0007242829598218162,0.000899302216845865,0
2025/05/20 12:56:13.736903967,1747738573,672146956,piren,vessel_center,-454.3264851225757,-279.94994482322426,2.345990580563886,0.019281430087150383,-0.015400073491480617,-0.6675533633152088,0.744152921997088,0.02380104751068758,-0.14076763205766835,-0.0017971133698580048,0.002616489413120797,0.0007668390196320683,0.000599427637054621,0
2025/05/20 12:56:13.949380133,1747738573,924848867,piren,vessel_center,-454.4637593271492,-279.9711927739992,2.2943335999812895,-0.012092657192862824,0.011610234246340587,-0.6676164599639973,0.744316621128335,-0.14131591261407261,-0.04426002076302209,-0.05484443590277972,0.0005174050317495829,-0.0039376886981899485,0.0005041638436591022,0
2025/05/20 12:56:14.812974960,1747738574,809283978,piren,vessel_center,-454.45736197839807,-279.9031881441132,2.315041223980386,-0.0022323337348287733,0.002888591676628991,-0.6673036811556752,0.7447767919587096,-0.013558108530696666,0.058692931628866074,0.012117532432346714,-0.0014085418635180786,0.003381486012751829,0.00022149890427409542,0
2025/05/20 12:56:15.788471806,1747738575,761518753,piren,vessel_center,-454.43428329540984,-279.8406973535325,2.338614619738199,-0.002373482174907533,0.0028537742028985577,-0.6671748944500809,0.7448918597828061,0.022206999996024053,0.07487453237067712,0.02669590820976854,0.0008225108436983741,-0.002569825392942388,0.00030195084386372363,0
2025/05/20 12:56:16.419134431,1747738576,413358381,piren,vessel_center,-454.4251561797861,-279.83171277629094,2.3456988857602012,0.02330634870975719,-0.019016764848417658,-0.6669622990837232,0.744484028280979,0.00935040242729886,-0.020040609267471143,0.002462449552250983,0.0002484544228778683,0.0024529287510154023,-0.00016453773230199102,0
2025/05/20 12:56:17.243748580,1747738577,239760966,piren,vessel_center,-454.45893508602194,-279.86250679793136,2.3281310271911906,0.0010543967677582662,-4.856525471390544e-05,-0.6674044790672597,0.7446946671017807,-0.1299547088472536,-0.05785118843432427,-0.06249290386455465,0.0016373596548697753,0.000932023901432291,5.284173540204306e-05,0
2025/05/20 12:56:18.289869161,1747738578,285234103,piren,vessel_center,-454.54345872336467,-279.9100287843017,2.288975460228185,0.0005751840293972147,0.00031506691891139047,-0.6684580868451557,0.7437495250603413,-0.033542567934500736,-0.04004533432303104,-0.01234758189017486,-0.002620253771412961,0.0028610898330750888,-0.0006086463344713518,0
2025/05/20 12:56:18.700259778,1747738578,694725264,piren,vessel_center,-454.5243759049515,-279.9236472995275,2.300611149712509,-0.02095231701494143,0.02091174459626841,-0.6690653109784502,0.7426138357147379,0.04280632239169793,-0.02302117022372839,0.025147470422503607,0.002218283680843846,0.0008126629941798524,-0.001112912921798927,0
2025/05/20 12:56:19.705615599,1747738579,698109828,piren,vessel_center,-454.4110688055489,-279.9392376851389,2.355701528240976,-0.0038564026326985256,0.0043353775504101685,-0.6711123631700862,0.7413329404933335,0.15870695999510648,-0.010278967254407677,0.07423932363771439,-0.003779665710637443,0.006678684026719242,-0.0002925179944252261,0
2025/05/20 12:56:20.528409915,1747738580,511928856,piren,vessel_center,-454.3457052124953,-279.963608277327,2.3904873346574553,-0.021781398708868097,0.02006005658045422,-0.6707341127120154,0.7411065475656653,0.01747296319681485,-0.034993410760898756,0.015253239771367832,0.002024919614969343,0.0016495174621629254,-0.0004411150895553573,0
2025/05/20 12:56:21.611806509,1747738581,604881050,piren,vessel_center,-454.3304237283945,-280.0180507241608,2.3960923488656163,-0.0008088725620783654,0.002958415016758785,-0.6746885694740727,0.7380961507329491,0.013759057239667562,-0.04598746897272575,0.006030174755983043,0.0007540511980948317,-0.004454363564967845,-0.0015575091494002679,0
