time,header_stamp_secs,header_stamp_nsecs,header_frame_id,vessel_state_pose_position_x,vessel_state_pose_position_y,vessel_state_pose_position_z,vessel_state_pose_orientation_x,vessel_state_pose_orientation_y,vessel_state_pose_orientation_z,vessel_state_pose_orientation_w,vessel_state_velocity_linear_x,vessel_state_velocity_linear_y,vessel_state_velocity_linear_z,vessel_state_velocity_angular_x,vessel_state_velocity_angular_y,vessel_state_velocity_angular_z,vessel_state_vessel_frame_id,vessel_state_w_1,vessel_state_w_2,vessel_state_w_3,vessel_state_w_4,vessel_state_a_1,vessel_state_a_2,vessel_state_a_3,vessel_state_a_4
2025/05/14 12:38:24.521857030,1747219104,518424625,world_ned,-4.739892218672809,11.634482707152754,0.433691791786882,-0.00046823392429228423,4.4481558885629145e-06,-0.0008330749305470815,0.9999995433615788,-0.001438304951569024,0.0008183729082878884,-2.6606864099945e-05,-0.0003579531750639374,0.0007600010693670539,0.0005708415091850297,,210.0,202.0,210.0,217.99999999999997,2.3911010752322315,-2.3387411976724017,-0.8203047484373349,0.767944870877505
2025/05/14 12:38:24.615636652,1747219104,613093947,world_ned,-4.739693441659703,11.634576341045646,0.43368864133370094,-0.0004828727052188757,-4.771337385992747e-06,-0.0007995057964080231,0.9999995638007381,0.003724063475028586,0.0014939087157618135,-5.223192145914818e-05,-0.0005168878128520815,-0.0006604909691034771,0.0009348966926072834,,208.00000000000003,200.0,216.99999999999997,232.00000000000003,2.3911010752322315,-2.3387411976724017,-0.8453047484373349,0.767944870877505
2025/05/14 12:38:24.727913330,1747219104,721307379,world_ned,-4.73960268399497,11.634750653605096,0.433686232163633,-0.000508024843297084,2.099708525746393e-06,-0.0007442580157829439,0.9999995939930955,0.004759309329877937,0.0015798988310291792,-1.2378270278044736e-05,-0.0002387677206748163,-0.0009302771567141781,0.0011039873839743307,,213.00000000000003,199.0,214.99999999999997,230.0,2.4085543677521746,-2.3387411976724017,-0.8552113334772214,0.767944870877505
2025/05/14 12:38:24.818575504,1747219104,815221414,world_ned,-4.73946485702344,11.634887942372794,0.4336853262702658,-0.0005037888326850772,3.406415129964596e-06,-0.0006904403380139172,0.9999996347386073,-0.0012151758958017294,0.0013803738515842038,1.469736096874921e-05,0.00024191842575441716,0.0007940629516467587,0.0010589553556972,,211.0,213.00000000000003,222.0,236.0,2.4085543677521746,-2.3387411976724017,-0.8752113334772215,0.787944870877505
2025/05/14 12:38:24.921366921,1747219104,916593493,world_ned,-4.739249880737878,11.635035230581726,0.4336877625303248,-0.00048456986508505233,-1.898038809486182e-06,-0.0006352530030279057,0.9999996808209818,0.0037436052534674585,0.001371107466145011,2.0952261399502967e-05,0.000597159611597854,-0.0006162223573838213,0.0011900547187928291,,224.99999999999997,211.0,220.00000000000003,242.0,2.4085543677521746,-2.3387411976724017,-0.8901179185171081,0.782944870877505
2025/05/14 12:38:25.29205405,1747219105,21566485,world_ned,-4.7391596760469366,11.635150901760644,0.4336931692448917,-0.0004406737249958338,6.086835681915011e-06,-0.0005753413843320226,0.9999997373759205,0.004903786923115392,0.0010430791615878674,7.37930140842238e-05,0.0010558043749601493,-0.0008920480445948485,0.0010718692547945189,,223.0,209.00000000000003,217.99999999999997,247.00000000000003,2.4085543677521746,-2.3387411976724017,-0.8901179185171081,0.8028514559173916
2025/05/14 12:38:25.116767148,1747219105,114020790,world_ned,-4.7390123287905315,11.635248362023313,0.43369854742023706,-0.00038390038186668715,1.0415917740043451e-05,-0.0005270219670519035,0.9999997873799032,-0.0012452659029347586,0.0009319562114160764,5.32023722014333e-05,0.0011717629149240992,0.000840987956733199,0.0009386036619294976,,221.0,206.99999999999997,232.00000000000003,244.99999999999997,2.4085543677521746,-2.3387411976724017,-0.8901179185171081,0.8028514559173916
2025/05/14 12:38:25.226410814,1747219105,220360639,world_ned,-4.738790153669514,11.635340374915396,0.43370278313251664,-0.00032725402589538324,3.1727543976081667e-06,-0.00048109632176722444,0.9999998307205183,0.003967648458042905,0.0009464608862581681,2.6176784012295973e-05,0.0010504852815196612,-0.0006557924171303014,0.0009019164272166696,,219.00000000000003,205.00000000000003,228.99999999999997,243.00000000000006,2.4085543677521746,-2.3387411976724017,-0.8901179185171081,0.8028514559173916
2025/05/14 12:38:25.320056354,1747219105,318456080,world_ned,-4.738670654142424,11.635455868594839,0.4337048384846239,-0.000287915984801633,9.856175400029743e-06,-0.00043682350421673697,0.9999998630962245,0.005176932607501281,0.0014647264444035569,2.270546106652878e-05,0.00048360772684475517,-0.0009210411091537,0.0008533670724495315,,216.99999999999997,203.0,236.0,248.99999999999997,2.4085543677521746,-2.3387411976724017,-0.9075712110370514,0.8328514559173916
2025/05/14 12:38:25.414656188,1747219105,411392755,world_ned,-4.738484523854598,11.63561832956049,0.43370350071439395,-0.0002779329578238586,1.158629896889291e-05,-0.0003988640571455805,0.9999998817632393,-0.0007403803290438841,0.0019469854377997706,-1.4373148707456579e-05,-0.00014926770663216296,0.0007890818778289754,0.0007438494795907571,,213.00000000000003,200.0,241.0,253.0,2.4085543677521746,-2.3387411976724017,-0.9225712110370514,0.8527580409572783
