time,header_stamp_secs,header_stamp_nsecs,header_frame_id,wrench_force_x,wrench_force_y,wrench_force_z,wrench_torque_x,wrench_torque_y,wrench_torque_z
2025/05/07 10:38:44.715018582,1746607124,714839114,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:44.814800281,1746607124,814627337,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:44.915534843,1746607124,915346428,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.12415270,1746607125,12271538,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.114432752,1746607125,114271459,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.212131982,1746607125,211987446,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.311839383,1746607125,311656291,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.412037911,1746607125,411885320,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.512474370,1746607125,512317001,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.614442950,1746607125,614028962,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.714743082,1746607125,714415453,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.812502954,1746607125,812359457,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.911801213,1746607125,911631911,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.11729144,1746607126,11606198,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.128385740,1746607126,128079784,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.215975664,1746607126,215585037,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.317957114,1746607126,317770135,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.415976265,1746607126,415460222,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.788955667,1746607126,516519555,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.790846902,1746607126,613346226,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.791099138,1746607126,711726397,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.818189234,1746607126,817912809,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.915863785,1746607126,915665455,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.16176375,1746607127,15986216,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.112366956,1746607127,112200181,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.217310294,1746607127,216850273,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.315991897,1746607127,315747796,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.419672502,1746607127,418643368,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.526243673,1746607127,525953362,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.631771133,1746607127,630760213,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.732172833,1746607127,731612559,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.817166751,1746607127,816956078,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.987610028,1746607127,962316722,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.23956829,1746607128,21936608,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.123568542,1746607128,123234945,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.216869485,1746607128,215256261,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.360225687,1746607128,359887206,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.420156183,1746607128,419832045,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.537601261,1746607128,513886532,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.653694481,1746607128,614533322,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.725869100,1746607128,725078796,,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.824372738,1746607128,820811061,,-0.0,0.0,0.0,0.0,0.0,0.0
