time,layout_data_offset,data_0,data_1,data_2,data_3
2025/05/06 15:20:03.466372650,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:03.568889914,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:03.667367226,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:03.768475099,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:03.866870054,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:03.967633604,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.68959029,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.165420578,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.264708742,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.372352821,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.463542366,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.604897521,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.696320500,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.764961709,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:04.867089507,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.317460854,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.336766580,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.339958282,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.366893794,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.463182548,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.565827062,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.669414790,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.768638016,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.876506801,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:05.965970021,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.93963199,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.175262399,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.290314476,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.385420913,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.485423225,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.564336122,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.764167895,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.845064490,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.911885292,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:06.979945064,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:07.131046809,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:07.196703489,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:07.265403680,0,0.0,0.0,0.0,0.0
2025/05/06 15:20:07.468778732,0,0.0,0.0,0.0,0.0
