time,header_stamp_secs,header_stamp_nsecs,header_frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10,buttons_11
2025/04/09 10:24:44.663157264,1744187084,661675140,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:44.712880609,1744187084,712638202,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:44.812590812,1744187084,812424838,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:44.862833048,1744187084,862639807,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:44.962266192,1744187084,961890674,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.12387211,1744187085,12231872,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.63192065,1744187085,62918206,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.113953082,1744187085,113530349,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.213728375,1744187085,213551829,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.313791824,1744187085,313626273,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.413457796,1744187085,413284268,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.463744325,1744187085,463471801,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.564055902,1744187085,562922345,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.663022448,1744187085,662756572,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.713234068,1744187085,712998940,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.764111705,1744187085,763867852,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.814353734,1744187085,814167788,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.914533327,1744187085,913986368,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:45.964189018,1744187085,963998032,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.15086072,1744187086,14745175,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.114377926,1744187086,114229411,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.164787302,1744187086,164472936,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.265880134,1744187086,264566371,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.365101220,1744187086,364991179,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.415802779,1744187086,415626882,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.516014237,1744187086,515841689,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.566719372,1744187086,566066237,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.616900487,1744187086,616771136,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.666915768,1744187086,666813552,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2025/04/09 10:24:46.718001128,1744187086,717829370,joy,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
