time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2025/05/21 10:41:33.526692765,1747816883,548007535,20,rosbag2_recorder,Subscribed to topic '/forces',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526753265,1747816883,550828433,20,rosbag2_recorder,Subscribed to topic '/guidance/waypoint',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526788044,1747816883,553918484,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526825948,1747816883,559218449,20,rosbag2_recorder,Subscribed to topic '/ma1/servos',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526859984,1747816883,564896072,20,rosbag2_recorder,Subscribed to topic '/ma1/thrusters',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526892551,1747816883,569987729,20,rosbag2_recorder,Subscribed to topic '/navigation/pose',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526925305,1747816883,578219607,20,rosbag2_recorder,Subscribed to topic '/sim/vessel_state',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526958054,1747816883,583456851,20,rosbag2_recorder,Subscribed to topic '/dynamic_positioning/control_action',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.526994202,1747816883,589561369,20,rosbag2_recorder,Subscribed to topic '/supervisor/mode',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/21 10:41:33.527028924,1747816883,589703286,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,209
2025/05/21 10:41:33.532714309,1747816884,703832669,20,rosbag2_player,Set rate to 1,./src/rosbag2_transport/player.cpp,set_rate,295
2025/05/21 10:41:33.532778518,1747816884,714749323,20,rosbag2_player,Adding keyboard callbacks.,./src/rosbag2_transport/player.cpp,add_keyboard_callbacks,626
2025/05/21 10:41:33.532996510,1747816884,714849759,20,rosbag2_player,Press SPACE for Pause/Resume,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/21 10:41:33.533037654,1747816884,714871333,20,rosbag2_player,Press CURSOR_RIGHT for Play Next Message,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/21 10:41:33.534165797,1747816884,714890385,20,rosbag2_player,Press CURSOR_UP for Increase Rate 10%,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/21 10:41:33.534206222,1747816884,714907972,20,rosbag2_player,Press CURSOR_DOWN for Decrease Rate 10%,./src/rosbag2_transport/player.cpp,add_key_callback,615
