time,header_stamp_secs,header_stamp_nsecs,header_frame_id,vessel_state_pose_position_x,vessel_state_pose_position_y,vessel_state_pose_position_z,vessel_state_pose_orientation_x,vessel_state_pose_orientation_y,vessel_state_pose_orientation_z,vessel_state_pose_orientation_w,vessel_state_velocity_linear_x,vessel_state_velocity_linear_y,vessel_state_velocity_linear_z,vessel_state_velocity_angular_x,vessel_state_velocity_angular_y,vessel_state_velocity_angular_z,vessel_state_vessel_frame_id,vessel_state_w_1,vessel_state_w_2,vessel_state_w_3,vessel_state_w_4,vessel_state_a_1,vessel_state_a_2,vessel_state_a_3,vessel_state_a_4
2025/05/06 15:20:03.528290348,1746537603,523230647,world_ned,6.799160486297279,-15.817090776185424,0.4336873068577766,4.484480823041147e-05,-0.00039980407892004766,0.9945503400002705,-0.10425669930986727,2.518957776898827e-06,4.309209157164291e-06,4.32979409367269e-06,-7.34821500942e-06,-1.7944636942860739e-06,2.36042021433158e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:03.623257910,1746537603,619109202,world_ned,6.799159943942629,-15.81709130489529,0.43368800971237487,4.466488548264386e-05,-0.000400170131260759,0.994550339724281,-0.10425670061550785,8.98589809568079e-06,3.623436055154184e-06,5.417182852266289e-06,-6.216286577311765e-06,9.005677640875842e-06,3.2257551426439766e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:03.728352187,1746537603,725604407,world_ned,6.799158942971755,-15.817091817490855,0.43368850582528484,4.3967283561811694e-05,-0.0004004990357746579,0.9945503394609284,-0.1042567021613113,1.2639299650822407e-05,2.320114599054956e-06,4.6340008845798375e-06,-4.080915969017656e-06,1.901719412597143e-05,4.089649277440395e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:03.823780721,1746537603,820911103,world_ned,6.799157377764009,-15.81709226187678,0.43368904426152644,4.2866763591703735e-05,-0.0004007183440450217,0.9945503392388283,-0.10425670389562887,1.780174814372873e-05,1.7961646836925606e-08,2.2782602341248825e-06,-2.8411992181861754e-07,2.4308474755803584e-05,4.582539391056538e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:03.935945539,1746537603,926398758,world_ned,6.799155547247153,-15.817092515042468,0.43368908367382786,4.159538220163432e-05,-0.0004007535382407626,0.9945503390889828,-0.10425670570478923,1.8995158023694367e-05,-2.245053670330147e-06,-8.137079056113446e-07,3.5107779094432034e-06,2.5795542605379284e-05,4.6527737545812206e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.23918061,1746537604,20344594,world_ned,6.799154246133677,-15.81709247150256,0.43368901989194647,4.0267308797146e-05,-0.00040064051862096037,0.9945503390033152,-0.10425670747778994,1.4775653329227173e-05,-3.7887290057599316e-06,-3.963960970191076e-06,6.166343109472214e-06,2.3158741137447018e-05,4.5019535911935745e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.133032783,1746537604,130653194,world_ned,6.799152821368075,-15.817092341967522,0.43368848035359475,3.929037824415296e-05,-0.00040039439668976127,0.9945503389541297,-0.10425670926525177,1.2502143453152115e-05,-4.5599569613242014e-06,-6.046453009968673e-06,7.541584371474514e-06,1.5276548406479927e-05,4.1910673196196364e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.230825061,1746537604,223970336,world_ned,6.799151761479308,-15.817092088771606,0.43368800334236707,3.876110730578084e-05,-0.00040006015926374134,0.9945503389274247,-0.10425671100121299,6.869117075437876e-06,-4.605969031333278e-06,-7.0201584728385875e-06,7.652505392748028e-06,4.859857865055763e-06,3.54159941327427e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.325547588,1746537604,323530373,world_ned,6.799151378474229,-15.817091767668154,0.4336873050497004,3.879317771901692e-05,-0.0003997285886399084,0.9945503388952184,-0.10425671256830976,4.93147329957456e-07,-3.148928735516987e-06,-6.3434876614685265e-06,5.230160779023281e-06,-6.1212266771608304e-06,2.6860499511211675e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.436322970,1746537604,422820711,world_ned,6.7991516002808465,-15.817091524589932,0.4336869871859684,3.936054702972221e-05,-0.0003995091529291809,0.9945503388215198,-0.10425671389979749,-5.633467752122894e-06,-7.761629677957522e-07,-3.951115450607099e-06,1.29135787633535e-06,-1.6262897213615856e-05,1.790596023465281e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
2025/05/06 15:20:04.528878021,1746537604,516329688,world_ned,6.799153362028241,-15.817091194396452,0.4336867543913197,4.0248234022420405e-05,-0.0003994516525350615,0.9945503386979025,-0.10425671496044929,-1.5699593604028944e-05,1.2170548032055857e-06,-5.117983145310891e-07,-2.03032094699345e-06,-2.145572506320783e-05,1.179865926287138e-08,,0.0,0.0,0.0,0.0,2.356194490192345,-2.356194490192345,-0.7853981633974483,0.7853981633974483
