time,force_x,force_y,force_z,torque_x,torque_y,torque_z
2025/05/07 10:38:45.647124712,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.746541582,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.846231201,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.897384004,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:45.997824448,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.102274288,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.146894508,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.246948903,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.298813933,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.396985808,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.446599266,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.788998092,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.790899798,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.791140037,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.791364026,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.791543509,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.798241067,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.898231415,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.949231016,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:46.999215626,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.98976781,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.200363547,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.249285056,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.299284195,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.351949321,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.450747460,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.554874794,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.650463886,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.702429119,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.776053880,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.802533979,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.858337068,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.902369397,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:47.953020579,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.51731523,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.102270887,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.153757437,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.203357357,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.254651700,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.303266702,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.354817329,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.405126840,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.455326867,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.537106141,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.556521149,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.656550511,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.707457804,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.755745290,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.806426981,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.856959425,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.913343152,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:48.961468977,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.61663424,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.178415651,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.291022917,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.309352792,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.363980598,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.417028924,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.458146390,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.507645699,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.608213265,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.708608763,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.808296008,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.858657320,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.909414402,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:49.959728994,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.59105853,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.158964094,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.262276509,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.310072577,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.365337488,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.410956768,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.461316103,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.519687801,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.600208220,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.665808129,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.717177434,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.812548312,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.898502248,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.950773092,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:50.964458870,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.19389010,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.119684368,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.166680967,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.250141662,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.267600502,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.318652882,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.374876817,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.426599651,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.476884734,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.663145000,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.685037350,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.724484053,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.775849282,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.875143803,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.926043094,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:51.976102446,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.26294995,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.127524909,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.176533045,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.226399067,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.277188662,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.377320052,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.508931161,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.622139076,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.747057591,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.770077769,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.828099496,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.928806527,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:52.981647929,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.30485604,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.81357184,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.133957566,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.184918894,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.235624849,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.285192062,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.335514609,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.386128711,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.486516076,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.537374108,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.587474937,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.638525971,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.689340519,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.740287706,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.790209043,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.890160049,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:53.940612843,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.41088593,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.139828146,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.189983486,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.290149487,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.389893831,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.490464951,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.540774389,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.590623898,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.641284504,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.691480556,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.741700128,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.792178189,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.891816631,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.942484094,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:54.993300162,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.44228095,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.95414714,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.146438542,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.245644250,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.296322553,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.347054211,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.449353719,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.496936543,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.597221794,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.647541992,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.697996644,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.798728057,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.849295420,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:55.901303352,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.1295064,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.101419412,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.200557923,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.250882354,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.350787704,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.401153249,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.500251838,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.551237115,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.602263129,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.653137349,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.703337072,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.754057173,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.804314732,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.905231307,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:56.955436389,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.5954049,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.105116675,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.155306759,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.205457229,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.255644501,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.306250704,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.405777178,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.506596903,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.557877237,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.615546933,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.707726581,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.757691436,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.857588576,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.908482857,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:57.959269964,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.9603117,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.108462610,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.159719360,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.258350022,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.309200662,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.409191006,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.508383696,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.559415239,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.660101116,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.759564211,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.860266659,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:58.911080589,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.10854578,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.109496220,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.160345035,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.210568860,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.310483061,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.360532074,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.410966913,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.511509606,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.561573018,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.611780286,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.711530581,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.762189884,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.813092354,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:38:59.914025242,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.13269334,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.112503879,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.162781628,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.263959611,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.313989639,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.413570855,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.513924055,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:00.614085814,-0.0,0.0,0.0,0.0,0.0,0.0
2025/05/07 10:39:04.299388866,0.15769856769194257,9.562227506090073,0.0,0.0,0.0,-0.02332175863921237
2025/05/07 10:39:04.300330991,0.15769882553429537,9.562242519402208,0.0,0.0,0.0,-0.02338272955672387
2025/05/07 10:39:04.401144695,0.15769908337665017,9.562257532716078,0.0,0.0,0.0,-0.02344370047476803
2025/05/07 10:39:04.503894236,0.157699341219007,9.562272546031686,0.0,0.0,0.0,-0.023504671392279283
2025/05/07 10:39:04.600313522,0.1576995990596635,9.562287559345563,0.0,0.0,0.0,-0.0235656423103237
2025/05/07 10:39:04.699060895,0.1576998569003176,9.56230257265944,0.0,0.0,0.0,-0.023626613227835207
